country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
DEU / Germany,,Amprion / TenneT-DE / 50Hertz / TransnetBW (consolidated via ENTSO-E),https://transparency.entsoe.eu/,germany,T1a,curtailment-renewable,published,XML-feed,doc-cited / ENTSO-E A75,"BNetzA 2024 electricity market data (3.4 TWh onshore wind + 4.6 TWh offshore wind + PV curtailment)",8.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Loader uses ENTSO-E A75 multiplied by BNetzA-cited rates; per-TSO SMARD/BNetzA splits available but not split in loader.
FRA / France,,RTE,https://www.rte-france.com/eco2mix,france,T1a,curtailment-renewable,published,JSON-API,doc-cited / RTE eco2mix open data,RTE 2024 Bilan electrique (renewable curtailment summary),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Loader uses ODRE/eco2mix; RTE publishes ENR curtailment in annual Bilan but no extracted GWh in current model.
ESP / Spain,,REE (Red Electrica),https://www.ree.es/en,iberia,T1a,curtailment-renewable,published,JSON-API,doc-cited / REE e-sios,IEA Renewables 2025 official-data VRE chart cites REE I3DIA,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,iberia region covers ES via ENTSO-E; REE 2024 system report gives integration context but no extractable GWh; A77 substitution candidate.
PRT / Portugal,,REN (Redes Energeticas Nacionais),https://www.ren.pt/en-gb/,portugal,T1a,curtailment-renewable,documented-gap,JSON-API,doc-cited / ENTSO-E A75,REN 2024 grid-connected solar news (no annual curtailed-energy total found),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Loader uses ENTSO-E A75; placeholder rates pending REN curtailment extraction or A77 substitution.
ITA / Italy (North),,Terna,https://www.terna.it/en/electric-system/transparency-report,italy-north-zone,T1b,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,Terna 2024 Annual Report (national MSD only; no per-zone split published),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,T1b due to national-MSD-share modelled scope mismatch; covers IT bidding zone NORD per ENTSO-E EIC 10Y1001A1001A73I.
ITA / Italy (Centre-North),,Terna,https://transparency.entsoe.eu/,,not-modelled,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,IT bidding zone CNOR (10Y1001A70O0H0Y); ENTSO-E A75 hourly available but no public Terna per-zone curtailment anchor.
ITA / Italy (Centre-South),,Terna,https://transparency.entsoe.eu/,,not-modelled,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,IT bidding zone CSUD (10Y1001A1001A71M); ENTSO-E A75 available but no per-zone anchor.
ITA / Italy (South),,Terna,https://transparency.entsoe.eu/,italy-south,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,Terna 2024 Annual Report (no per-zone split),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Loader uses ENTSO-E A75 SUD (10Y1001A1001A788); placeholder rates pending Terna per-zone curtailment.
ITA / Italy (Sicily),,Terna,https://transparency.entsoe.eu/,,not-modelled,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,IT bidding zone SICI (10Y1001A1001A75E); ENTSO-E A75 available but no per-zone anchor.
ITA / Italy (Sardinia),,Terna,https://transparency.entsoe.eu/,italy-sardinia,T1b,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,Terna 2024 Annual Report (no Sardinia-specific anchor),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,T1b due to national-MSD-share scaled to Sardinia generation share; SARD zone 10Y1001A1001A74G.
ITA / Italy (Calabria),,Terna,https://transparency.entsoe.eu/,,not-modelled,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,IT bidding zone CALA (10Y1001C--00096J); ENTSO-E A75 available but no per-zone curtailment anchor published.
NLD / Netherlands,,TenneT-NL,https://www.tennet.eu/,netherlands,T1b,curtailment-renewable,published,XML-feed,doc-cited / ENTSO-E A75,IEEFA May 2025 (Dutch 2024 wind+solar curtailment 3.0 TWh / 4.9% rate),3.0,leave-existing-T1+,not-applicable,not-applicable,0.0,T1b: IEEFA aggregate rate applied to ENTSO-E A75 wind+solar generation.
BEL / Belgium,,Elia,https://opendata.elia.be/,belgium,T1a,curtailment-renewable,published,JSON-API,operator-direct / Elia Open Data,Elia 2024 wind+solar generation feed (curtailment via balancing dataset),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Loader uses Elia Open Data (opendata.elia.be) - JSON API with sub-hourly granularity.
LUX / Luxembourg,,Creos Luxembourg,https://www.creos-net.lu/,,not-modelled,none-expected,documented-gap,no-public-data,not-probed,none,0.0,leave-not-modelled,not-applicable,not-applicable,0.0,Small DSO inside Amprion/TenneT-DE control area; no domestic TSO-level curtailment expected separate from German bidding zone.
AUT / Austria,,APG (Austrian Power Grid),https://www.apg.at/,austria,T3,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,APG Strombilanz 2024 (provisional anchor; no extracted curtailed-energy total),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Currently static T3 with provisional anchor; A77 substitution candidate when ENTSO-E pass is wired.
CHE / Switzerland,,Swissgrid,https://www.swissgrid.ch/en/home/operation/grid-data.html,switzerland,T1c,curtailment-renewable,published,XML-feed,doc-cited / ENTSO-E A75,Czech CEPS rate extrapolated (no domestic Swiss curtailment published),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,T1c neighbour-anchored; PV-only feed via Swissgrid; hydro spill not in A75.
CZE / Czechia,,CEPS,https://www.ceps.cz/en,czech-republic,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,ENTSO-E A77 sample exists in API guide (no extracted annual),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Measured-substitution candidate for A77 - sample appears directly in ENTSO-E Web API guide.
