country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
USA,Texas Permian Basin,Permian flare (operators / Texas RRC),https://www.rrc.texas.gov/,permian,T2-flare,flare-associated-gas,published,JSON-API,known-public-API,World Bank GGFR 2024 VIIRS flaring tracker,82.0,leave-existing-T1+,not-applicable,Pattern-A,8.2000,Largest US flare zone; baseload by definition.
Nigeria,,Transmission Company of Nigeria (TCN),https://www.tcn.org.ng/,,not-modelled,both,documented-gap,parseable-HTML-table,homepage-200,Ember Nigeria 2024 + GGFR Nigeria flaring,7.0,introduce-as-T3,T3,not-applicable,4.9000,TCN as TSO; chronic frequency-instability load-shedding; major Niger Delta gas flaring (~7 TWh-eq/yr per GGFR); no live dispatch feed.
JPN,Tohoku area,Tohoku Electric Power Network,https://setsuden.nw.tohoku-epco.co.jp/,,not-modelled,curtailment-renewable,published,CSV-download,known-juyo-pattern,Tohoku juyo-hourly CSV 2024,1.0,introduce-as-T1,T1a,Pattern-A,0.9000,Highest non-Kyushu wind+solar curtailment area; juyo CSV available; high-priority addition
GBR,Scotland,National Energy System Operator (NESO) / Elexon BMRS,https://www.neso.energy/data-portal/monthly-operational-metered-wind-output,gb-scotland,T1a,curtailment-renewable,published,JSON-API,not-probed,Elexon BMRS 2024 GB constraint payments ~11 TWh/yr (NESO Markets Roadmap 2024); Scotland share ~70%,7.7,leave-existing-T1+,not-applicable,not-applicable,0.7700,Cross-ref: covered in europe-entsoe Task 7 dispatch as canonical home; UK is non-EU/non-ENTSO-E observer post-Brexit but retains GB BMRS.
GBR / GB (Scotland),,National Grid ESO (NESO),https://www.neso.energy/data-portal,gb-scotland,T1a,curtailment-renewable,published,JSON-API,operator-direct / Elexon BMRS,NESO Markets Roadmap 2024 (~11 TWh/yr constraint actions; Scotland-dominant),7.7,leave-existing-T1+,not-applicable,not-applicable,0.7700,Post-Brexit ESO/NESO no longer ENTSO-E member; loader uses Elexon BMRS wind+solar (Scotland 70% share).
USA,Texas (West),ERCOT,https://www.ercot.com/,ercot-west,T1a,curtailment-renewable,published,JSON-API,known-public-API,"ERCOT 2024 State of the Market (Potomac Economics, 2025)",5.8,leave-existing-T1+,not-applicable,Pattern-A,0.5800,EIA fuel-type API used as live feed; West/East 66/34 split per existing modelling.
USA,Midwest,MISO,https://www.misoenergy.org/,miso,T1a,curtailment-renewable,published,JSON-API,known-public-API,"MISO 2024 State of the Market (Potomac Economics, 2025)",5.5,leave-existing-T1+,not-applicable,Pattern-A,0.5500,EIA fuel-type API serves the live feed.
South Africa,,Eskom Holdings SOC Ltd,https://www.eskom.co.za/,south-africa,T1b,curtailment-renewable,published,JSON-API,already-loaded,Eskom Data Portal hourly + MTSAO 2024,5.0,leave-existing-T1+,not-applicable,not-applicable,0.5000,Existing T1 live region; Eskom Data Portal renewables hourly + MTSAO curtailment rate; no change.
JPN,Tokyo area,Tokyo Electric Power Company (TEPCO Power Grid),https://www.tepco.co.jp/forecast/,,not-modelled,curtailment-renewable,published,CSV-download,homepage-200-csv-data-section-confirmed,TEPCO area supply-demand CSV (juyo data) 2024,0.5,introduce-as-T1,T1a,Pattern-A,0.4500,Confirmed CSV download section; juyo-hourly CSV pattern; small solar curtailment; loader mirror Kyushu pattern
COL / Colombia,,XM (Compania de Expertos en Mercados),https://www.xm.com.co/,,not-modelled,curtailment-renewable,published,JSON-API,403 on direct probe,XM Synergox PISYS 2024 (wind+solar restrictions ~0.4 TWh),0.4,introduce-as-T1,T1a,Pattern-A,0.4000,XM publishes hourly via Synergox API + sinergox.xm.com.co JSON. La Guajira wind curtailment growing; PISYS releases monthly bulletin.
USA,California,CAISO,https://www.caiso.com/,caiso,T1a,curtailment-renewable,published,JSON-API,known-public-API,CAISO Daily Curtailment Reports + Ascend Analytics 2024,3.9,leave-existing-T1+,not-applicable,Pattern-A,0.3900,OASIS API + EIA fuel-type both available; solar-dominant curtailment.
BRA / Brazil,,ONS (Operador Nacional do Sistema Eletrico),https://www.ons.org.br/,brazil-rn,T1a,curtailment-renewable,published,CSV-download,200 / text/html,ONS Boletim de Operacao 2024 (constrained-off CSVs by submarket),9.5,leave-existing-T1+,T1a,Pattern-A,0.3800,Already T1a-live for 12 NE/SE state clusters via ONS constrained-off feed. Brazil-rn cited; other states (brazil-ce/bahia/piaui/pe/mg/sp/mt/go/pr/rs/other) all share this loader.
JPN,Hokkaido area,Hokkaido Electric Power Network,https://denkiyoho.hepco.co.jp/,,not-modelled,curtailment-renewable,published,CSV-download,known-juyo-pattern,Hokkaido juyo-hourly CSV 2024,0.4,introduce-as-T1,T1a,Pattern-A,0.3600,Wind-rich isolated island grid; frequent curtailment; juyo CSV pattern
JPN,Shikoku area,Shikoku Electric Power Transmission and Distribution,https://www.yonden.co.jp/nw/denkiyoho/,,not-modelled,curtailment-renewable,published,CSV-download,known-juyo-pattern,Shikoku juyo-hourly CSV 2024,0.4,introduce-as-T1,T1a,Pattern-A,0.3600,Solar-heavy island; high curtailment ratio; juyo CSV pattern
DOM / Dominican Republic,,OC (Organismo Coordinador del SENI),https://www.oc.org.do/,,not-modelled,curtailment-renewable,unknown,parseable-HTML-table,200 / text/html,"IRENA Dominican Republic 2024 + OC Reportes (1.0 TWh solar+wind, no explicit curtailment anchor)",0.5,introduce-as-T3,T3,not-applicable,0.3500,OC publishes daily/monthly Reportes de Operacion (Informes section). Wind+solar ~10% of generation 2024; some curtailment reported in PDF reports.
