country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes,parent_region_id,granularity_available,expected_new_regions
AUS,New South Wales,AEMO NEMWeb,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,aemo-nsw-wind,T1a,curtailment-renewable,published,CSV-download,aemo.json.ts:95 per-DUID summed to NSW1 state; AEMO_UNIT_MAP has named DUIDs,AEMO NEMWeb SEMIDISPATCHCAP,0.3,leave-existing-T1+,not-applicable,not-applicable,0.0000,Per-DUID curtailment already parsed in loader (fueltech field confirmed in AEMO_UNIT_MAP). State aggregation is explicit in parseAemoDispatchCsv line 107.,aemo-nsw-wind,plant,50
AUS,Victoria,AEMO NEMWeb,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,aemo-vic-wind,T1a,curtailment-renewable,published,CSV-download,aemo.json.ts:107 per-DUID summed to VIC1 state; AEMO_UNIT_MAP confirmed,AEMO NEMWeb SEMIDISPATCHCAP,0.2,leave-existing-T1+,not-applicable,not-applicable,0.0000,Same per-DUID structure as NSW1. Victoria wind+solar curtailment per-plant available in upstream dispatch CSV.,aemo-vic-wind,plant,30
AUS,Queensland,AEMO NEMWeb,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,aemo-qld-wind,T1a,curtailment-renewable,published,CSV-download,aemo.json.ts:107 per-DUID summed to QLD1 state; AEMO_UNIT_MAP confirmed,AEMO NEMWeb SEMIDISPATCHCAP,0.2,leave-existing-T1+,not-applicable,not-applicable,0.0000,Per-DUID rows aggregated to QLD1 state in loader. Plant-level split available with no API change — filter by DUID.,aemo-qld-wind,plant,25
AUS,South Australia,AEMO NEMWeb,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,aemo-sa-wind,T1a,curtailment-renewable,published,CSV-download,aemo.json.ts:107 per-DUID summed to SA1; wind dominant in SA,AEMO NEMWeb SEMIDISPATCHCAP,0.4,leave-existing-T1+,not-applicable,not-applicable,0.0000,SA has highest per-MWh curtailment in NEM. Per-DUID plant data in upstream CSV; aggregated to SA1 in REGION_CODE_TO_ID map.,aemo-sa-wind,plant,20
JPN,Kyushu,Kyushu Electric Power T&D,https://www.kyuden.co.jp/td_area_jukyu/jukyu.html,japan-kyushu,T1a,curtailment-renewable,published,CSV-download,"japan-area-csv.ts:86 solar col=太陽光出力制御量 wind col=風力出力制御量 summed at line 114 as mw:solarMw+windMw",OCCTO FY2023 area curtailment bulletins,1.8,leave-existing-T1+,T1a,not-applicable,0.0000,Both 太陽光出力制御量 and 風力出力制御量 columns parsed and summed per interval. Solar ~95%+ of Kyushu curtailment. Fuel-split available from existing parsed fields.,japan-kyushu,fuel-split,1
JPN,Tohoku,Tohoku Electric Power Network,https://setsuden.nw.tohoku-epco.co.jp/,japan-tohoku,T1a,curtailment-renewable,published,CSV-download,"japan-area-csv.ts:86 solar col=太陽光出力制御量 wind col=風力出力制御量 summed at line 114",OCCTO FY2023 anchor 0.13 TWh rising,0.3,leave-existing-T1+,T1a,not-applicable,0.0000,Solar and wind curtailment parsed separately in AreaPoint struct (solarMw+windMw fields). Summed to single mw at line 114 of japan-area-csv.ts.,japan-tohoku,fuel-split,1
JPN,Hokkaido,Hokkaido Electric Power Network,https://www.hepco.co.jp/network/con_service/public_document/supply_demand_results/index.html,japan-hokkaido,T1a,curtailment-renewable,published,CSV-download,"japan-area-csv.ts:86 solar col + wind col both parsed; summed to mw at line 114",OCCTO area CSV,0.2,leave-existing-T1+,T1a,not-applicable,0.0000,Hokkaido has meaningful wind curtailment (wind farms in Toya/Ishikari plains). Fuel-split from existing parsed AreaPoint fields; no new fetch needed.,japan-hokkaido,fuel-split,1
JPN,Okinawa,Okinawa Electric Power,https://www.okiden.co.jp/business-support/service/supply-and-demand/csv/,japan-okinawa,T1a,curtailment-renewable,published,CSV-download,"japan-area-csv.ts:86 solar col + wind col parsed; mw=solarMw+windMw at line 114",OCCTO area CSV,0.05,leave-existing-T1+,T1a,not-applicable,0.0000,Small island grid; wind curtailment non-trivial. Fuel split already parsed in AreaParsed struct; only display layer needs splitting.,japan-okinawa,fuel-split,1
JPN,Shikoku,Shikoku Electric Power T&D,https://www.yonden.co.jp/nw/supply_demand/data_download.html,japan-shikoku,T1a,curtailment-renewable,published,CSV-download,"japan-area-csv.ts:86 solar + wind cols parsed, summed at line 114",OCCTO area CSV,0.1,leave-existing-T1+,T1a,not-applicable,0.0000,Solar dominant but wind non-negligible. AreaParsed.solarCurtMwSum and windCurtMwSum already computed in parseAreaCsv; no additional upstream data needed.,japan-shikoku,fuel-split,1
JPN,Chugoku,Chugoku Electric Power Network,https://www.energia.co.jp/nw/jukyuu/sys/,japan-chugoku,T1a,curtailment-renewable,published,CSV-download,"japan-area-csv.ts:86 solar + wind cols parsed, summed at line 114",OCCTO area CSV,0.1,leave-existing-T1+,T1a,not-applicable,0.0000,Chugoku has wind parks (Hamada etc). Fuel-split available via existing solarMw/windMw parsed fields in AreaPoint struct.,japan-chugoku,fuel-split,1
CHL,Atacama/SIC,Coordinador Eléctrico Nacional,https://www.coordinador.cl/operacion/documentos/reducciones-de-generacion-renovable/,atacama,T1a,curtailment-renewable,published,XLSX-table,"chile-cen-reductions.ts:154 plant name in row.get(1); summed across PFV-* rows in parseCoordinadorReductionXlsx","CEN Annual Reduction Reports",1.5,leave-existing-T1+,T1a,not-applicable,0.0000,"Each row in solar sheet has a plant name (col 1 PFV- prefix). Summed across all plants in totals Map. Per-plant values in XLSX no new upstream data.",atacama,plant,30
CHL,Biobio/SIC,Coordinador Eléctrico Nacional,https://www.coordinador.cl/operacion/documentos/reducciones-de-generacion-renovable/,chile-wind,T1a,curtailment-renewable,published,XLSX-table,"chile-cen-reductions.ts:154 plant name col 1; PE-* prefix for wind; summed across all plants in totals Map","CEN Annual Reduction Reports",0.3,leave-existing-T1+,T1a,not-applicable,0.0000,Wind sheet (Resumen-DiarioHorario-Eolico) uses PE-* prefix per plant. Same aggregation pattern as solar. Per-plant wind curtailment available in the same XLSX download.,chile-wind,plant,15
DEU,,Amprion / TenneT-DE / 50Hertz / TransnetBW,https://transparency.entsoe.eu/,germany-wind,T1a,curtailment-renewable,published,XML-feed,"entsoe.json.ts:48 domain=10Y1001A1001A82H aggregates 4 TSO zones; per-TSO EIC codes exist in ENTSO-E","BNetzA 2024 electricity market data",7.9,leave-existing-T1+,T1a,not-applicable,0.0000,Loader queries aggregate DE domain. Individual TSO bidding zones (Amprion/TenneT-DE/50Hertz/TransnetBW) each publish A75 with own EIC. 50Hertz offshore-dominated vs Amprion south.,germany-wind,bidding-zone,4
COL,,XM SinerGox,https://servapibi.xm.com.co/hourly,colombia,T1b,curtailment-renewable,published,geo-blocked,"docs/research/2026-06-07-colombia-xm-plant-level-findings.md §4: GeneIdea-Gene per Recurso; 17 solar + 31 hydro centrally dispatched plants","XM SinerGox / PISYS",0.05,leave-existing-T1+,T1b,not-applicable,0.0000,Per-Recurso curtailment (GeneIdea-Gene) confirmed populated for 17 solar plants. System-wide ~11-18 GWh/yr solar; hydro dominates vertimientos. Geo-blocked; Britta relay required.,colombia,plant,17
JPN,Tokyo,TEPCO Power Grid,https://www.tepco.co.jp/forecast/html/area_jukyu-j.html,japan-tepco,T1a,curtailment-renewable,published,CSV-download,"japan-area-csv.ts:86 solar col + wind col both parsed; summed to mw at line 114",OCCTO area CSV,0.15,leave-existing-T1+,T1a,not-applicable,0.0000,TEPCO area CSV is UTF-8 (unique); both 太陽光出力制御量 and 風力出力制御量 parsed per interval. Fuel-split requires only separating already-computed solarMw/windMw fields.,japan-tepco,fuel-split,1
JPN,Chubu,Chubu Electric Power Grid,https://powergrid.chuden.co.jp/denkiyoho/eriajukyu_data/,japan-chubu,T1a,curtailment-renewable,published,CSV-download,"japan-area-csv.ts:86 solar col + wind col both parsed; summed to mw at line 114",OCCTO area CSV,0.1,leave-existing-T1+,T1a,not-applicable,0.0000,Chubu area uses standard Shift-JIS CSV with both curtailment columns. Fuel-split from AreaParsed.solarCurtMwSum / windCurtMwSum already computed in parseAreaCsv.,japan-chubu,fuel-split,1
