country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes,parent_region_id,granularity_available,expected_new_regions
CHL,,CEN (Coordinador Eléctrico Nacional),https://www.coordinador.cl/operacion/documentos/reducciones-de-generacion-renovable/,chile-wind,T1a,curtailment-renewable,published,XLSX-table,403 Forbidden on direct fetch; Google-verified XLSX downloads exist with per-plant wind+solar+hydro columns,CEN Reducciones ERV 2024/2025,1.2,leave-existing-T1+,T1a,not-applicable,0.0000,CEN ERV XLSX confirmed per-plant wind+solar+hydro reductions. Solar curtailment colocated in same XLSX. chile-solar not yet in project.,chile-wind,fuel-split,1
CHL,,CEN (Coordinador Eléctrico Nacional),https://www.coordinador.cl/operacion/documentos/reducciones-de-generacion-renovable/,,not-modelled,curtailment-renewable,published,XLSX-table,403 Forbidden on direct fetch; Google-verified monthly XLSX with per-plant columns for wind solar hydro,CEN Reducciones ERV 2025,0.6,introduce-as-T1,T1a,not-applicable,0.0000,chile-solar absent from project. CEN monthly XLSX includes solar curtailment per-plant. Implement alongside chile-wind loader.,chile-wind,plant,1
PER,,COES-SINAC,https://www.coes.org.pe/Portal/mediciones/medidoresgeneracion,peru-wind,T1a,curtailment-renewable,published,CSV-download,200 OK — query form loads; fuel-type filter offers Solar Eolica Hidro Termica; CSV+XLS export confirmed,COES Medidores de Generacion,0.8,leave-existing-T1+,T1a,not-applicable,0.0000,medidoresgeneracion page: per-plant per-fuel CSV/XLS confirmed publicly. Solar and wind separate columns. Splits curtailment anchor.,peru-wind,plant,2
PER,,COES-SINAC,https://www.coes.org.pe/Portal/mediciones/medidoresgeneracion,,not-modelled,curtailment-renewable,published,CSV-download,200 OK — Medidores de Generacion loads; CSV export with solar fuel filter confirmed,COES Medidores de Generacion,0.8,introduce-as-T1,T1b,not-applicable,0.0000,peru-solar (T1b live-domestic-anchored) uses MEII curtailment only. Per-plant generation CSV available for solar complement.,peru-solar,plant,0
ARG,,CAMMESA,https://cammesaweb.cammesa.com/download/energia-renovables-base-de-datos/,argentina,T3,curtailment-renewable,documented-gap,auth-walled,SSL-cert-error on all cammesaweb.cammesa.com paths — TLS verification failure,IRENA Argentina 2025 / Energia Estrategica 2025,1.0,leave-T3,T3,not-applicable,0.0000,Restricciones endpoint auth-walled for Agentes only per prior audit. Renewable DB page exists but SSL cert blocks probe. ~64 GWh/month peak curtailment (Oct 2025) in Patagonia/Cuyo.,,none,0
MEX,,CENACE,https://www.cenace.gob.mx/Paginas/SIM/Reportes/EnergiaGeneradaTipoTec.aspx,mexico,T3,curtailment-renewable,documented-gap,CSV-download,page-200-no-curtailment — EnergiaGeneradaTipoTec returns generation-by-tech CSV but no curtailment column,SENER PRODESEN 2024-2038,1.2,leave-T3,T3,not-applicable,0.0000,CENACE open data has generation by technology CSV but zero curtailment/vertimiento column. Datos Abiertos portal only has pricing + budget datasets. No public curtailment path found.,,none,0
BOL,,CNDC (Comite Nacional de Despacho de Carga),https://www.cndc.bo/,bolivia,T3,curtailment-renewable,unknown,XLSX-table,200 OK — cndc.bo loads; XLS energy injection downloads confirmed; no fuel-type breakdown or curtailment column,IRENA Bolivia 2024,0.1,leave-T3,T3,not-applicable,0.0000,CNDC XLS downloads confirmed for hourly injections and daily offers but NO fuel-type breakdown. Solar+wind <5% of mix. No curtailment data published. Hydro+gas dominated.,,none,0
ECU,,CENACE-EC (Operador Nacional de Electricidad),https://www.cenace.gob.ec/info-operativa/InformacionOperativa.htm,ecuador,T3,curtailment-renewable,unknown,unreachable,SSL-cert-error — cenace.gob.ec returns certificate verification failure on all paths,IRENA Ecuador 2025,0.2,leave-T3,T3,not-applicable,0.0000,TLS cert error on all cenace.gob.ec paths. Hydro-dominated (82% in 2024). VRE <3%. 2024 energy crisis driven by drought. No VRE curtailment anchor found.,,none,0
URY,,ADME (Administradora del Mercado Electrico),https://www.adme.com.uy/panelControl/ro_excel.php,uruguay,T1b,curtailment-renewable,published,XLSX-table,DB-error-200 — ro_excel.php returns PHP/Postgres crash but endpoint confirmed active; prior data confirmed,ADME Restricciones Operativas,0.5,leave-existing-T1+,T1b,not-applicable,0.0000,roexcel.php probe hit server DB error (timestamp parse bug) but endpoint confirmed live. Research: ADME collects hourly per-plant data. Per-plant wind/solar split within RO workbook not yet exploited.,uruguay,plant,2
DOM,,OC (Organismo Coordinador del SENI),https://www.oc.org.do/Reportes/ReportesOperacionales,dominican-republic,T3,curtailment-renewable,unknown,JS-rendered-SPA,200 OK homepage; Reportes page lists Demanda Abastecida por Combustible and Gen Programada vs Real — no curtailment explicit,IRENA Dominican Republic 2024,0.2,leave-T3,T3,not-applicable,0.0000,OC reports portal has fuel-demand and scheduled vs actual generation. No renewable curtailment report listed. Likely JS-SPA. Prior audit: GetGeneracionReprogramadaJSon not curtailment-specific.,,none,0
