country,subdivision,operator_name,operator_url,region_id_current,current_tier,phenomenon,sources_found,source_authority_score,data_specificity_score,machine_readability_score,temporal_coverage_score,rate_provenance_score,total_score_25,t1a_minimum,t1b_minimum,t1c_minimum,t2_minimum,t3_minimum,recommended_tier,confidence,blocking_issue,evidence_anchor,next_action
"Japan","Tohoku area","Tohoku Electric Power Network","https://setsuden.nw.tohoku-epco.co.jp/","not-modelled","T3","curtailment-renewable","Annual CSV archives only (no daily live feed); juyo pattern exists but Tohoku publishes yearly archives not intraday","3","2","2","1","2","10","FAIL: no hourly live feed; annual archives only","FAIL","FAIL","FAIL","PASS","T3","low","No daily CSV; only annual archive at /common/demand/juyo_YYYY_tohoku.csv","https://setsuden.nw.tohoku-epco.co.jp/","Find daily CSV URL if it exists; otherwise remain T3"
"Japan","Tokyo area","Tokyo Electric Power Company (TEPCO Power Grid)","https://www.tepco.co.jp/forecast/","not-modelled","T3","curtailment-renewable","CSV download section confirmed; demand data only (not generation by fuel)","3","2","4","1","2","12","FAIL: demand-only CSV; no generation by fuel type; no curtailment field","FAIL","FAIL","FAIL","PASS","T3","medium","CSV publishes demand only, not solar/wind generation; curtailment cannot be derived","https://www.tepco.co.jp/forecast/","Find if TEPCO publishes solar output data separately; otherwise T3"
"Japan","Hokkaido area","Hokkaido Electric Power Network","https://denkiyoho.hepco.co.jp/","not-modelled","T3","curtailment-renewable","Daily CSV at /area/data/juyo_01_YYYYMMDD.csv; no generation by fuel type in this CSV","3","2","4","2","2","13","FAIL: daily CSV exists but has no solar/wind generation breakdown; demand-only","FAIL","FAIL","FAIL","PASS","T3","medium","CSV has demand/supply but no fuel-type breakdown; curtailment cannot be derived","https://denkiyoho.hepco.co.jp/","Probe actual CSV content; if solar output present, T1a possible"
"Japan","Shikoku area","Shikoku Electric Power Transmission and Distribution","https://www.yonden.co.jp/nw/denkiyoho/","not-modelled","T3","curtailment-renewable","Daily CSV at /juyo_08_YYYYMMDD.csv; demand data only","3","2","4","2","2","13","FAIL: demand CSV only; no generation by fuel type","FAIL","FAIL","FAIL","PASS","T3","medium","CSV has demand data only; no fuel-type generation breakdown","https://www.yonden.co.jp/nw/denkiyoho/","Check if juyo page has separate solar output CSV"
"Japan","Chubu area","Chubu Electric Power Grid","https://powergrid.chuden.co.jp/denkiyoho/","not-modelled","T3","curtailment-renewable","Daily CSV at /denki_yoho_content_data/juyo_cepco003.csv; demand + solar forecast only","3","2","4","2","2","13","FAIL: demand and solar forecast only; no actual solar generation in CSV","FAIL","FAIL","FAIL","PASS","T3","medium","CSV shows forecast vs actual demand; solar output not metered in this feed","https://powergrid.chuden.co.jp/denkiyoho/","Verify if actual solar generation is in a different data section"
"Japan","Kansai area","Kansai Transmission and Distribution","https://www.kansai-td.co.jp/denkiyoho/","not-modelled","T3","curtailment-renewable","Download page under maintenance at time of probe","2","1","1","1","1","6","FAIL: page maintenance; no confirmed data","FAIL","FAIL","FAIL","FAIL","blocked","T3","medium","Download page under maintenance; cannot verify data format","https://www.kansai-td.co.jp/denkiyoho/","Re-probe; if page restored, verify CSV format"
"Japan","Chugoku area","Chugoku Electric Power Transmission and Distribution","https://www.energia.co.jp/nw/jukyuu/","not-modelled","T3","curtailment-renewable","Site moved/redirects; new URL not found","1","1","1","1","1","5","FAIL: site moved; no data found","FAIL","FAIL","FAIL","FAIL","blocked","T3","low","Site relocated; cannot find new data URL","https://www.energia.co.jp/nw/jukyuu/","Search for new Chugoku juyo data URL"
"Japan","Hokuriku area","Hokuriku Electric Power Transmission and Distribution","http://www.rikuden.co.jp/denki-yoho/","not-modelled","T3","curtailment-renewable","Daily CSV at /csv/juyo_05_YYYYMMDD.csv; demand, supply, solar, BG plans","3","2","4","2","2","13","FAIL: demand/supply CSV; no explicit solar output metering","FAIL","FAIL","FAIL","PASS","T3","medium","CSV has demand and solar forecast; actual curtailment not metered","http://www.rikuden.co.jp/denki-yoho/","Verify if actual solar generation vs forecast allows curtailment derivation"
"Japan","Okinawa area","Okinawa Electric Power Company","https://www.okiden.co.jp/business-support/service/supply-and-demand/","not-modelled","T3","curtailment-renewable","Monthly CSV files (not daily); HTML demand table only","2","1","3","1","1","8","FAIL: monthly only; small system <0.05 TWh signal","FAIL","FAIL","FAIL","PASS","T3","low","Small system; monthly files only; T3 is sufficient","https://www.okiden.co.jp/business-support/service/supply-and-demand/","T3 appropriate; no action needed"
"Japan","Kyushu area","Kyushu Electric Power Transmission and Distribution","https://www.kyuden.co.jp/td_power_usages/pc.html","japan","T1a","curtailment-renewable","Already T1a; CSV confirmed; 5-min interval solar data enables curtailment derivation at 10% calibration rate","5","4","4","5","4","22","PASS: live 5-min CSV with solar output; calibration rate from Kyushu annual report","PASS","PASS","FAIL","PASS","T1a","high","Already T1a; no change needed","https://www.kyuden.co.jp/td_power_usages/pc.html","No action needed"
"Mexico","National","CENACE (Centro Nacional de Control de Energia)","https://www.cenace.gob.mx/","mexico","T3","curtailment-renewable","276 datasets on datos.gob.mx in CSV; hourly market clearing data via web services; no explicit curtailment field","3","2","3","2","2","12","FAIL: batch CSV (not live); no explicit curtailment; web services require integration","FAIL","FAIL","FAIL","PASS","T3","medium","No live feed; curtailment must be derived from forecast vs actual generation; annual report not found","https://datos.gob.mx/organization/cenace","Find explicit curtailment figure in CENACE annual report or wire web service API"
"Uruguay","National","ADME (Administracion del Mercado Electrico)","https://adme.com.uy/","uruguay","T3","curtailment-renewable","info_consignas.php: explicit curtailment flag per farm (Con restriction operativa); hourly refresh; XLT spot forecast files","4","3","3","4","3","17","PARTIAL: explicit curtailment flag per farm but requires HTML scraping; no clean API","FAIL","FAIL","FAIL","PASS","T1b","medium","HTML-only (no JSON/API); SCADA delay up to 1h; annual figure conflict (0.1 vs 0.5 TWh)","https://adme.com.uy/info_consignas.php","Wire HTML scraper for info_consignas; resolve annual figure conflict via 2024 Informe Anual XLSX"
"Colombia","National","XM (Compania de Expertos en Mercados)","https://www.xm.com.co/","not-modelled","T3","curtailment-renewable","servapibi.xm.com.co/hourly (POST JSON); unauthenticated; generation metrics Gene + GeneProgDesv; 8% calibrated rate from XM PISYS bulletin","4","4","4","4","3","19","PASS (conditional): live hourly API exists; 8% calibrated rate from PISYS bulletin; geo-blocked from non-Colombian IPs","PASS","FAIL","FAIL","PASS","T1a","medium","DNS/proxy failure from non-Colombian IPs; Colombia XM API geo-filtered in practice","https://servapibi.xm.com.co/hourly","Use Colombian proxy/host for live access; verify 8% rate from XM PISYS bulletin document"
"Chile","Wind zones (Bio Bio/Araucania/Los Lagos)","CEN (Coordinador Electrico Nacional)","https://www.coordinador.cl/","chile-wind","T3","curtailment-renewable","Same XLSX workbook as Atacama (T1a); wind sheet Resumen-DiarioHorario-Eolico in same file; ~0.65-0.7 TWh/yr; Cloudflare bypass proven","5","4","3","3","4","19","PASS: same XLSX as Atacama; wind sheet available; Cloudflare bypass works","PASS","FAIL","FAIL","PASS","T1a","high","Only blocker is wiring the wind sheet (not yet done); same feed as existing T1a","https://www.coordinador.cl/operacion/documentos/reducciones-de-generacion-renovable/","Wire chile-wind.json.ts to use cen-erv.ts with sheetName Resumen-DiarioHorario-Eolico"
"Chile","Atacama solar","CEN (Coordinador Electrico Nacional)","https://www.coordinador.cl/","atacama","T1a","curtailment-renewable","Already T1a; XLSX with solar sheet Resumen-DiarioHorario-Solar; ~2.5 TWh/yr solar; Cloudflare bypass","5","5","4","4","4","22","PASS","PASS","PASS","FAIL","PASS","T1a","high","Already T1a; no change needed","https://www.coordinador.cl/operacion/documentos/reducciones-de-generacion-renovable/","No action needed"
"Philippines","National","IEMOP (Independent Electricity Market Operator of the Philippines)","https://www.iemop.ph/","not-modelled","T3","curtailment-renewable","Live dashboard on homepage (5-min dispatch); RTD prices and schedules page with download button; bulk historical via paid subscription","3","2","3","4","2","14","PARTIAL: live dashboard visible but no programmatic API; bulk historical behind paywall","FAIL","FAIL","FAIL","PASS","T1b","medium","No documented public API for programmatic access; bulk historical requires paid Knowledge Center subscription","https://www.iemop.ph/the-market/market-data/","Investigate Knowledge Center Data Services for machine-accessible bulk feed; otherwise T1b via dashboard scraping"
"Philippines","National","NGCP (National Grid Corporation of the Philippines)","https://www.ngcp.ph/","not-modelled","T3","curtailment-renewable","XLSX datasets (Hourly Demand, System Peak, Energy Delivery per Region); display-only operational data on UI; no generation by fuel type","3","2","3","2","2","12","FAIL: operational data display-only (UI); XLSX per-file; no generation mix by fuel","FAIL","FAIL","FAIL","PASS","T3","low","No generation mix; display-only UI; not a T1a candidate","https://www.ngcp.ph/operations","T3 appropriate; no T1a path found"
"Philippines","National","PEMC (Philippine Electricity Market Corporation)","https://www.wesm.ph/","not-modelled","T3","curtailment-renewable","Governance body only; no operational data; all downloads are PDF policy documents","2","1","1","1","1","6","FAIL: governance body; no operational data; PDF only","FAIL","FAIL","FAIL","FAIL","blocked","T3","low","PEMC is WESM governance; IEMOP is operational; PEMC not a data source","https://www.wesm.ph/library/downloads","No action; IEMOP is the correct operational source"
"Jordan","National","NEPCO (National Electric Power Company)","https://www.nepco.com.jo/","jordan","T3","curtailment-renewable","NEPCO Annual Report 2023 PDF; qualitative curtailment mention but no explicit TWh figure; EMRC unreachable","3","2","1","2","2","10","FAIL: PDF only; no explicit TWh figure; figure is derived (IRENA capacity-based estimate)","FAIL","FAIL","FAIL","PASS","T3","low","No explicit curtailment TWh in cited document; ~0.5 TWh is capacity-based estimate not published figure","https://www.nepco.com.jo/AnnualReports.aspx","Access NEPCO 2023/2024 annual report PDF and verify if explicit TWh figure stated"
