operator,iso3,fuels,collect_status,loader_key,waste_status,region_ids,notes
California Wind,USA,wind,live-tso,,legacy-unspecified,caiso-wind,Existing live waste or Path-B generation×rate.
California Solar,USA,solar,live-tso,,legacy-unspecified,caiso-solar,Existing live waste or Path-B generation×rate.
ERCOT West Wind,USA,wind,live-tso,,legacy-unspecified,ercot-west-wind,Existing live waste or Path-B generation×rate.
ERCOT West Solar,USA,solar,live-tso,,legacy-unspecified,ercot-west-solar,Existing live waste or Path-B generation×rate.
ERCOT East Wind,USA,wind,live-tso,,legacy-unspecified,ercot-east-wind,Existing live waste or Path-B generation×rate.
ERCOT East Solar,USA,solar,live-tso,,legacy-unspecified,ercot-east-solar,Existing live waste or Path-B generation×rate.
MISO (Midwest) Wind,USA,wind,live-tso,,legacy-unspecified,miso-wind,Existing live waste or Path-B generation×rate.
MISO (Midwest) Solar,USA,solar,live-tso,,legacy-unspecified,miso-solar,Existing live waste or Path-B generation×rate.
PJM Wind,USA,wind,live-tso,,legacy-unspecified,pjm-wind,Existing live waste or Path-B generation×rate.
PJM Solar,USA,solar,live-tso,,legacy-unspecified,pjm-solar,Existing live waste or Path-B generation×rate.
SPP Wind,USA,wind,live-tso,,legacy-unspecified,spp-wind,Existing live waste or Path-B generation×rate.
SPP Solar,USA,solar,live-tso,,legacy-unspecified,spp-solar,Existing live waste or Path-B generation×rate.
NYISO Zones D+E,USA,wind,live-tso,,legacy-unspecified,nyiso-zones-d-e,Existing live waste or Path-B generation×rate.
NYISO (rest) Wind,USA,wind,live-tso,,legacy-unspecified,nyiso-rest-wind,Existing live waste or Path-B generation×rate.
NYISO (rest) Solar,USA,solar,live-tso,,legacy-unspecified,nyiso-rest-solar,Existing live waste or Path-B generation×rate.
ISO-NE Maine/Vermont,USA,wind,live-tso,,legacy-unspecified,iso-ne-maine-vermont,Existing live waste or Path-B generation×rate.
ISO-NE (rest) Wind,USA,wind,live-tso,,legacy-unspecified,iso-ne-rest-wind,Existing live waste or Path-B generation×rate.
ISO-NE (rest) Solar,USA,solar,live-tso,,legacy-unspecified,iso-ne-rest-solar,Existing live waste or Path-B generation×rate.
BPA Wind,USA,wind,live-tso,,legacy-unspecified,bpa-wind,Existing live waste or Path-B generation×rate.
BPA Solar,USA,solar,live-tso,,legacy-unspecified,bpa-solar,Existing live waste or Path-B generation×rate.
Southern Company Wind,USA,wind,not-collecting,statics,legacy-unspecified,soco-wind,T2 annual waste anchor. Not hourly TSO collection.
Southern Company Solar,USA,solar,not-collecting,statics,legacy-unspecified,soco-solar,T2 annual waste anchor. Not hourly TSO collection.
PacifiCorp West Wind,USA,wind,not-collecting,statics,legacy-unspecified,pacw-wind,T2 annual waste anchor. Not hourly TSO collection.
PacifiCorp West Solar,USA,solar,not-collecting,statics,legacy-unspecified,pacw-solar,T2 annual waste anchor. Not hourly TSO collection.
PacifiCorp East Wind,USA,wind,not-collecting,statics,legacy-unspecified,pace-wind,T2 annual waste anchor. Not hourly TSO collection.
PacifiCorp East Solar,USA,solar,not-collecting,statics,legacy-unspecified,pace-solar,T2 annual waste anchor. Not hourly TSO collection.
Public Service Colorado Wind,USA,wind,not-collecting,statics,legacy-unspecified,psco-wind,T2 annual waste anchor. Not hourly TSO collection.
Public Service Colorado Solar,USA,solar,not-collecting,statics,legacy-unspecified,psco-solar,T2 annual waste anchor. Not hourly TSO collection.
Arizona Public Service Wind,USA,wind,not-collecting,statics,legacy-unspecified,azps-wind,T2 annual waste anchor. Not hourly TSO collection.
