utc_timestamp,eolica_mw,fotovoltaica_mw,hidraulica_mw,biocombustible_mw
2026-06-15T03:05:00Z,3202.84,0,113.67,164.77
2026-06-15T03:10:00Z,3213.44,0,113.61,164.35
2026-06-15T03:15:00Z,3180.51,0,113.6,164.48
2026-06-15T03:20:00Z,3122.26,0,113.75,162.85
2026-06-15T03:31:51Z,3100.61,0,113.76,165.74
2026-06-15T03:35:00Z,3115.42,0,113.86,168.1
2026-06-15T03:40:00Z,3122.61,0,113.32,171.48
2026-06-15T04:00:00Z,3173.19,0,113.35,169.65
2026-06-15T04:05:00Z,3169.06,0,113.36,171.3
2026-06-15T04:10:00Z,3141.61,0,113.65,170.13
2026-06-15T04:15:00Z,3115.55,0,113.74,170.08
2026-06-15T04:20:00Z,3155.2,0,113.48,169.96
2026-06-15T04:25:00Z,3164.94,0,113.29,169.39
2026-06-15T04:30:00Z,3172.73,0,113.34,169.72
2026-06-15T04:35:00Z,3186.93,0,113.31,167.71
2026-06-15T04:40:00Z,3194.94,0,113.06,168.09
2026-06-15T04:50:00Z,3200.08,0,113.12,169.01
2026-06-15T04:55:00Z,3163.64,0,113.37,170.74
2026-06-15T05:00:00Z,3128.11,0,113.17,171.12
2026-06-15T05:05:00Z,3106.91,0,113.72,170.85
2026-06-15T05:10:00Z,3097.01,0,113.89,169.23
2026-06-15T05:15:00Z,3079.39,0,113.46,170.07
2026-06-15T05:20:00Z,3060.66,0,113.85,167.36
2026-06-15T05:25:00Z,3035.87,0,113.4,170.89
2026-06-15T05:30:00Z,3041.35,0,113.38,171.13
2026-06-15T05:40:00Z,3089.68,0,113.51,171.94
2026-06-15T05:45:00Z,3129.19,0,113.67,168.25
2026-06-15T05:50:00Z,3152.01,0,113.56,165.15
2026-06-15T05:55:00Z,3197.6,0,113.68,165.84
2026-06-15T06:05:00Z,3216.43,0,113.58,168.35
2026-06-15T06:10:00Z,3189.47,0,113.73,169.3
2026-06-15T06:15:00Z,3147.89,0,113.54,170.71
2026-06-15T06:20:00Z,3109.08,0,113.86,171.98
2026-06-15T06:25:00Z,3081.53,0,113.74,172.65
2026-06-15T06:30:00Z,3063.48,0,113.5,172.87
2026-06-15T06:35:00Z,3027.42,0,113.89,172.15
2026-06-15T06:40:00Z,3030.61,0,113.76,173.49
2026-06-15T06:45:00Z,3015.79,0,113.69,172.31
2026-06-15T07:05:00Z,2938.05,0,113.53,174.22
2026-06-15T07:10:00Z,2873.53,0,113.8,172.54
2026-06-15T07:15:00Z,2892.59,0,113.44,170.58
2026-06-15T07:20:00Z,2925.46,0,113.83,171.72
2026-06-15T07:25:00Z,2942.11,0,113.66,171.48
2026-06-15T07:30:00Z,2950.92,0,113.58,171.21
2026-06-15T07:35:00Z,2955.55,0,113.88,170.78
2026-06-15T07:45:00Z,2954.68,0,113.55,171.01
2026-06-15T07:50:00Z,2914.75,0,113.38,170.24
2026-06-15T07:55:00Z,2906.7,0,113.29,171.44
2026-06-15T08:00:00Z,2912.5,0,113.5,170.84
2026-06-15T08:15:00Z,2942.9,0,113.4,170.38
2026-06-15T08:20:00Z,2949.55,0,113.74,170.44
2026-06-15T08:25:00Z,2989.54,0,113.2,170.23
2026-06-15T08:30:00Z,3003.21,0,113.6,171.14
2026-06-15T08:35:00Z,2994.71,0,113.61,171.0
2026-06-15T08:40:00Z,3031.38,0,113.31,170.01
2026-06-15T08:45:00Z,3062.11,0,113.57,170.64
2026-06-15T08:50:00Z,3074.07,0,113.52,171.17
2026-06-15T08:51:52Z,2931.02,860.24,144.1,171.09
2026-06-15T09:05:00Z,3093.09,0,113.68,171.05
2026-06-15T09:10:00Z,3100.68,0,114.0,171.12
2026-06-15T09:15:00Z,3079.45,0,113.77,170.33
2026-06-15T09:20:00Z,3094.14,0,113.62,169.31
2026-06-15T09:30:00Z,3154.66,0,113.55,163.97
2026-06-15T09:35:00Z,3181.22,0,113.9,162.8
2026-06-15T09:40:00Z,3178.12,0,114.03,163.1
2026-06-15T09:55:00Z,3216.82,0,114.19,162.68
2026-06-15T10:00:00Z,3264.52,0,113.37,161.12
2026-06-15T10:05:00Z,3309.21,0,114.41,163.66
2026-06-15T10:10:00Z,3323.97,0,114.11,166.23
2026-06-15T10:25:00Z,3346.15,0,112.9,165.69
2026-06-15T10:30:00Z,3337.61,0,113.47,164.28
2026-06-15T10:35:00Z,3332.08,0,113.14,164.22
2026-06-15T10:45:00Z,3317.24,0,130.15,165.72
2026-06-15T10:50:00Z,3312.31,0,131.94,166.26
2026-06-15T10:55:00Z,3315.28,0,132.47,164.54
2026-06-15T11:00:00Z,3321.05,0,133.05,164.96
2026-06-15T11:05:00Z,3318.14,0,133.95,165.64
2026-06-15T11:10:00Z,3317.01,0,133.9,163.48
2026-06-15T11:15:00Z,3310.58,1.52,133.62,163.25
2026-06-15T11:20:00Z,3296.54,4.08,133.55,161.47
2026-06-15T11:21:49Z,3191.51,19.64,134.19,158.74
2026-06-15T11:25:00Z,3284.05,7.74,134.13,164.15
2026-06-15T11:40:00Z,3153.32,26.18,133.84,158.67
2026-06-15T11:42:00Z,2786.8,825.55,132.15,164.53
2026-06-15T11:45:00Z,3152.64,36.8,133.96,161.17
2026-06-15T11:50:00Z,3145.14,50.62,134.6,161.27
2026-06-15T11:55:00Z,3121.19,71.98,134.79,163.77
2026-06-15T12:00:00Z,3087.35,106.93,134.28,163.35
2026-06-15T12:05:00Z,3078.16,148.54,134.92,162.45
2026-06-15T12:10:00Z,3066.52,191.58,134.81,162.99
2026-06-15T12:15:00Z,3049.1,236.69,134.52,163.74
2026-06-15T12:20:00Z,3038.83,293.73,134.38,163.13
2026-06-15T12:25:00Z,3016.23,370.04,134.41,162.05
2026-06-15T12:30:00Z,3031.67,457.05,134.35,163.64
2026-06-15T12:35:00Z,3024.19,544.31,134.11,163.99
2026-06-15T12:40:00Z,3007.2,575.12,134.2,163.95
2026-06-15T12:50:00Z,2960.28,668.76,134.34,165.51
2026-06-15T12:55:00Z,2910.14,748.8,132.77,165.91
2026-06-15T13:00:00Z,2855.98,803.55,132.11,164.1
2026-06-15T13:10:52Z,2715.28,920.52,132.4,164.26
2026-06-15T13:15:00Z,2666.66,992.63,132.45,166.82
2026-06-15T13:20:00Z,2600.08,1044.63,132.38,167.86
2026-06-15T13:25:00Z,2543.9,1023.06,133.18,167.18
2026-06-15T13:30:00Z,2519.32,1060.53,132.8,167.17
2026-06-15T13:35:00Z,2526.88,1057.01,133.12,164.72
2026-06-15T13:40:00Z,2514.2,1057.96,133.12,165.83
2026-06-15T13:45:00Z,2456.47,1064.11,133.2,166.67
2026-06-15T13:50:00Z,2396.48,1095.66,132.97,167.09
2026-06-15T13:55:00Z,2375.14,1103.7,134.05,167.76
2026-06-15T14:00:00Z,2326.45,1126.6,134.64,167.65
2026-06-15T14:05:00Z,2314.98,1136.55,134.57,168.27
2026-06-15T14:10:00Z,2263.39,1182.14,134.41,168.86
2026-06-15T14:15:00Z,2243.08,1163.19,134.6,168.67
2026-06-15T14:20:00Z,2229.43,1165.29,145.96,168.68
2026-06-15T14:30:00Z,2229.24,1147.53,145.69,168.11
2026-06-15T14:35:00Z,2237.34,1151.8,145.66,168.92
2026-06-15T14:40:00Z,2241.46,1143.28,145.67,168.0
2026-06-15T14:45:00Z,2255.69,1147.76,145.97,168.63
2026-06-15T14:50:00Z,2262.25,1128.81,145.52,167.37
2026-06-15T14:55:00Z,2296.62,1143.46,145.78,170.81
2026-06-15T15:00:00Z,2299.26,1140.0,146.24,169.68
2026-06-15T15:05:00Z,2338.9,1165.29,145.93,169.87
2026-06-15T15:10:00Z,2351.15,1135.47,145.56,170.93
2026-06-15T15:15:00Z,2378.94,1135.31,145.35,170.38
2026-06-15T15:25:00Z,2415.14,1139.19,145.47,168.31
2026-06-15T15:30:00Z,2465.23,1158.0,144.47,169.81
2026-06-15T15:35:00Z,2525.72,1111.02,144.47,169.3
2026-06-15T15:40:00Z,2553.9,1133.24,144.61,169.85
2026-06-15T15:45:00Z,2610.77,1208.88,144.14,170.25
2026-06-15T15:50:00Z,2687.82,1195.24,144.3,171.94
2026-06-15T15:55:00Z,2726.28,1221.34,143.59,170.55
2026-06-15T16:00:00Z,2773.25,1205.79,144.42,169.98
2026-06-15T16:05:00Z,2776.28,1215.89,144.64,168.9
2026-06-15T16:15:00Z,2779.85,1194.09,144.63,168.48
2026-06-15T16:20:00Z,2833.82,1186.52,144.54,169.29
2026-06-15T16:25:00Z,2822.15,1147.77,145.2,169.34
2026-06-15T16:30:00Z,2856.68,1135.29,144.71,170.82
2026-06-15T16:40:00Z,2828.96,1187.84,144.32,170.35
2026-06-15T16:45:00Z,2911.37,1186.92,144.43,168.33
2026-06-15T16:50:00Z,2949.2,1201.42,144.66,168.62
2026-06-15T16:55:00Z,2935.3,1131.93,144.32,169.4
2026-06-15T17:00:00Z,2917.71,1154.44,144.43,167.92
2026-06-15T17:05:00Z,2917.23,1185.76,144.48,167.62
2026-06-15T17:10:00Z,2947.38,1303.23,144.9,167.63
2026-06-15T17:15:00Z,2980.25,1259.65,144.39,167.32
2026-06-15T17:20:00Z,2968.08,1281.27,144.48,168.36
2026-06-15T17:30:00Z,2995.51,1301.37,144.69,169.75
2026-06-15T17:35:00Z,2980.66,1348.25,144.49,168.33
2026-06-15T17:40:00Z,3003.9,1338.84,144.32,167.12
2026-06-15T17:45:00Z,3076.46,1348.52,144.44,168.61
2026-06-15T17:50:00Z,3129.56,1324.84,144.16,168.28
2026-06-15T17:55:00Z,3141.1,1246.27,143.86,168.84
2026-06-15T18:00:00Z,3125.2,1292.14,144.16,168.38
2026-06-15T18:05:00Z,3172.52,1290.0,144.28,168.4
2026-06-15T18:10:00Z,3194.99,1280.78,144.3,167.13
2026-06-15T18:25:00Z,3230.83,1338.83,144.34,164.6
2026-06-15T18:30:00Z,3254.8,1319.08,144.19,164.64
2026-06-15T18:35:00Z,3231.67,1337.03,143.8,166.49
2026-06-15T18:40:00Z,3204.49,1313.98,144.25,166.21
2026-06-15T18:45:00Z,3149.98,1276.72,144.52,166.33
2026-06-15T18:50:00Z,3143.71,1260.23,144.34,168.56
2026-06-15T18:55:00Z,3135.34,1293.98,144.06,169.3
2026-06-15T19:00:00Z,3120.6,1290.05,142.81,168.78
2026-06-15T19:00:52Z,2666.69,576.81,144.16,169.33
2026-06-15T19:05:00Z,3055.43,1298.99,143.1,168.64
2026-06-15T19:10:00Z,2994.78,1241.23,143.17,166.4
2026-06-15T19:15:00Z,3040.57,1227.23,143.13,168.14
2026-06-15T19:20:00Z,2978.97,1225.2,143.92,168.92
2026-06-15T19:25:00Z,2985.37,1139.25,144.46,169.04
2026-06-15T19:35:00Z,3042.65,997.85,143.77,169.9
2026-06-15T19:40:00Z,3005.78,936.25,144.27,168.65
2026-06-15T19:45:00Z,2966.19,918.02,144.1,169.75
2026-06-15T19:50:00Z,2952.62,877.85,143.64,171.9
2026-06-15T20:05:00Z,2818.15,818.54,144.01,169.82
2026-06-15T20:10:00Z,2713.58,771.46,144.14,170.39
2026-06-15T20:15:00Z,2660.16,761.1,144.32,170.59
2026-06-15T20:20:00Z,2653.94,666.25,144.01,169.54
2026-06-15T20:30:00Z,2695.18,505.17,143.99,169.54
2026-06-15T20:35:00Z,2716.5,446.31,143.82,169.48
2026-06-15T20:40:00Z,2745.35,391.96,143.9,170.93
2026-06-15T20:45:00Z,2777.42,331.23,144.14,170.68
2026-06-15T20:55:00Z,2881.67,239.45,146.09,170.38
2026-06-15T21:00:00Z,2915.22,191.12,146.17,168.86
2026-06-15T21:05:00Z,3033.87,148.31,146.33,170.14
2026-06-15T21:10:00Z,3128.12,110.0,146.26,169.07
2026-06-15T21:20:00Z,3240.02,86.25,147.22,168.42
2026-06-15T21:25:00Z,3223.6,64.86,155.31,169.52
2026-06-15T21:30:00Z,3236.14,39.21,161.48,169.7
2026-06-15T21:35:00Z,3215.8,18.3,160.82,171.15
2026-06-15T21:40:00Z,3237.41,4.14,161.04,170.85
2026-06-15T21:45:00Z,3248.34,0,160.99,168.72
2026-06-15T21:50:00Z,3217.05,0,161.68,170.74
2026-06-15T21:55:00Z,3268.4,0,162.69,168.77
2026-06-15T22:00:00Z,3275.28,0,162.55,171.0
2026-06-15T22:05:00Z,3287.96,0,162.91,170.13
2026-06-15T22:10:00Z,3321.35,0,162.64,170.07
2026-06-15T22:15:00Z,3339.33,0,164.95,168.26
2026-06-15T22:20:00Z,3363.77,0,163.67,168.66
2026-06-15T22:25:00Z,3356.38,0,163.83,167.5
2026-06-15T22:30:00Z,3377.13,0,163.17,167.11
2026-06-15T22:35:00Z,3383.33,0,163.72,162.15
2026-06-15T22:40:00Z,3387.18,0,163.7,163.04
2026-06-15T22:45:00Z,3415.97,0,162.85,168.76
2026-06-15T22:50:00Z,3405.87,0,163.3,168.62
2026-06-15T22:55:00Z,3402.2,0,163.47,169.1
2026-06-15T23:05:00Z,3485.06,0,164.38,166.98
2026-06-15T23:10:00Z,3505.7,0,163.76,166.53
2026-06-15T23:15:00Z,3503.74,0,164.0,166.75
2026-06-15T23:20:00Z,3504.18,0,164.19,166.05
2026-06-15T23:25:00Z,3511.74,0,164.55,165.58
2026-06-15T23:30:00Z,3532.19,0,164.36,166.5
2026-06-15T23:35:00Z,3530.05,0,164.7,166.38
2026-06-15T23:40:00Z,3528.27,0,164.78,161.92
2026-06-15T23:50:00Z,3600.84,0,164.93,166.11
2026-06-15T23:55:00Z,3610.01,0,164.83,167.01
2026-06-16T00:00:00Z,3598.37,0,164.89,164.77
2026-06-16T00:05:00Z,3578.57,0,164.56,166.3
2026-06-16T00:10:00Z,3573.69,0,165.4,165.32
2026-06-16T00:20:00Z,3583.23,0,164.9,165.99
2026-06-16T00:25:00Z,3599.35,0,165.29,164.89
2026-06-16T00:30:00Z,3627.3,0,164.79,165.85
2026-06-16T00:35:00Z,3640.63,0,165.27,165.53
2026-06-16T00:45:00Z,3617.05,0,164.84,163.63
2026-06-16T00:50:00Z,3581.29,0,164.73,160.17
2026-06-16T00:55:00Z,3545.93,0,165.22,161.14
2026-06-16T01:00:00Z,3523.17,0,164.64,162.81
2026-06-16T01:05:00Z,3504.89,0,165.54,164.14
2026-06-16T01:10:00Z,3463.56,0,165.39,165.99
2026-06-16T01:15:00Z,3435.21,0,165.31,167.6
2026-06-16T01:20:00Z,3420.82,0,165.42,166.15
2026-06-16T01:25:00Z,3446.19,0,165.44,164.26
2026-06-16T01:30:00Z,3476.16,0,165.51,165.49
2026-06-16T01:35:00Z,3446.55,0,154.5,164.55
2026-06-16T01:40:00Z,3401.51,0,153.81,162.92
2026-06-16T01:45:00Z,3365.03,0,154.11,165.25
2026-06-16T01:50:00Z,3342.35,0,154.02,164.07
2026-06-16T01:55:00Z,3314.61,0,154.38,166.61
2026-06-16T02:00:58Z,3304.87,0,154.03,166.22
2026-06-16T02:05:00Z,3321.93,0,154.22,164.87
2026-06-16T02:10:00Z,3287.86,0,154.43,163.19
2026-06-16T02:15:00Z,3299.46,0,154.23,162.49
2026-06-16T02:25:00Z,3364.01,0,153.88,163.53
2026-06-16T02:30:00Z,3389.07,0,151.05,165.24
2026-06-16T02:35:00Z,3394.67,0,148.26,166.17
2026-06-16T02:40:00Z,3417.49,0,146.22,161.24
2026-06-16T02:45:00Z,3438.17,0,145.12,162.64
2026-06-16T02:50:49Z,3463.94,0,131.55,161.78
2026-06-16T02:55:00Z,3457.86,0,127.25,162.25
2026-06-16T03:00:00Z,3491.56,0,113.74,163.7
2026-06-16T03:05:00Z,3518.08,0,113.66,166.4
2026-06-16T03:10:00Z,3540.01,0,114.02,167.16
2026-06-16T03:15:00Z,3557.74,0,114.16,164.91
2026-06-16T03:20:00Z,3562.99,0,113.88,167.1
2026-06-16T03:25:00Z,3557.97,0,113.56,166.64
2026-06-16T03:30:00Z,3574.47,0,133.17,167.88
2026-06-16T03:35:00Z,3593.5,0,136.48,169.75
2026-06-16T03:40:00Z,3614.49,0,136.06,169.31
2026-06-16T03:45:00Z,3664.18,0,136.59,168.2
2026-06-16T03:50:00Z,3687.14,0,136.07,167.64
2026-06-16T03:55:00Z,3719.44,0,135.61,165.07
2026-06-16T04:00:00Z,3752.3,0,135.72,166.18
2026-06-16T04:05:00Z,3745.44,0,131.54,167.34
2026-06-16T04:10:00Z,3713.1,0,131.88,167.07
2026-06-16T04:15:00Z,3724.73,0,132.62,168.17
2026-06-16T04:20:00Z,3721.76,0,133.09,167.68
2026-06-16T04:25:00Z,3713.58,0,133.13,169.08
2026-06-16T04:30:00Z,3744.52,0,133.76,169.13
2026-06-16T04:35:00Z,3747.85,0,133.37,169.1
2026-06-16T04:40:00Z,3747.18,0,131.9,169.57
2026-06-16T04:45:00Z,3722.73,0,131.38,168.11
2026-06-16T04:50:00Z,3695.91,0,131.26,168.03
2026-06-16T04:55:00Z,3686.13,0,131.3,166.01
2026-06-16T05:00:00Z,3694.37,0,130.87,167.38
2026-06-16T05:05:00Z,3689.75,0,131.05,167.04
2026-06-16T05:10:00Z,3701.13,0,130.58,166.16
2026-06-16T05:15:00Z,3709.98,0,130.22,166.64
2026-06-16T05:20:00Z,3709.41,0,130.26,166.08
2026-06-16T05:25:00Z,3700.27,0,130.68,165.39
2026-06-16T05:30:00Z,3696.95,0,129.19,165.89
2026-06-16T05:35:00Z,3725.76,0,128.72,166.38
2026-06-16T05:40:00Z,3731.02,0,128.7,163.11
2026-06-16T05:45:00Z,3740.56,0,128.42,165.35
2026-06-16T05:50:00Z,3737.49,0,128.4,165.61
2026-06-16T05:55:00Z,3733.62,0,128.11,166.19
2026-06-16T06:00:00Z,3729.86,0,128.26,167.64
2026-06-16T06:05:00Z,3734.32,0,128.73,169.55
2026-06-16T06:10:00Z,3728.41,0,128.53,169.41
2026-06-16T06:15:00Z,3753.1,0,128.04,167.43
