year,month,total_gwh,n_days_with_spill,note
# Colombia system-wide vertimientos hidráulicos (reservoir-overflow energy-equivalent spillage)
# Source: XM SinerGox API (servapibi.xm.com.co/daily), MetricId=VertEner, Entity=Sistema
# Captured: 2026-04-30 via Colombian-egress probe (NordVPN Bogotá POP)
# Methodology: docs/methodology/2026-04-29-gemini-research-wave-1.md §"Verification 2026-04-30"
# Units: total_gwh = sum of daily kWh values for the month, divided by 1e6 (= GWh)
# n_days_with_spill = number of days in the month with non-zero vertimientos (XM only returns records for spill-days)
2020,1,29.50,4,
2020,2,0.00,0,
2020,3,0.00,1,
2020,4,0.00,0,
2020,5,0.00,0,
2020,6,0.00,0,
2020,7,0.07,5,
2020,8,0.00,0,
2020,9,50.75,20,
2020,10,165.60,14,
2020,11,202.16,27,
2020,12,78.84,27,
2021,1,0.00,0,
2021,2,3.19,9,
2021,3,11.95,18,
2021,4,3.15,10,
2021,5,658.51,29,
2021,6,2826.24,30,
2021,7,1379.08,31,
2021,8,1045.14,31,
2021,9,799.61,30,
2021,10,761.75,31,
2021,11,582.22,30,
2021,12,90.50,24,
2022,1,1.26,7,
2022,2,0.00,0,
2022,3,10.01,19,
2022,4,129.31,30,
2022,5,288.07,31,
2022,6,810.41,30,
2022,7,1222.61,31,
2022,8,1353.36,31,
2022,9,821.99,30,
2022,10,2889.19,31,
2022,11,3675.07,30,
2022,12,1922.55,31,
2023,1,1601.75,31,
2023,2,671.73,28,
2023,3,1700.96,31,
2023,4,1363.96,30,
2023,5,1069.48,31,
2023,6,870.29,30,
2023,7,607.95,31,
2023,8,579.09,31,
2023,9,151.26,20,
2023,10,453.72,31,
2023,11,553.57,29,
2023,12,40.34,11,
2024,1,5.21,2,
2024,2,19.56,6,
2024,3,0.00,1,
2024,4,140.26,11,
2024,5,971.93,31,
2024,6,2224.26,30,
2024,7,1805.91,31,
2024,8,205.39,21,
2024,9,8.55,2,
2024,10,19.83,7,
2024,11,655.13,25,
2024,12,116.51,18,
2025,1,351.38,31,
2025,2,705.24,28,Gemini-3.1 cited this exact figure 2026-04-29 — VERIFIED EXACT MATCH 2026-04-30
2025,3,1202.23,31,
2025,4,1423.46,30,
