utc_timestamp,wind_mw,curtailment_mw
2026-06-21T21:00:00Z,65.0,1.3
2026-06-21T21:15:00Z,67.0,1.34
2026-06-21T21:30:00Z,67.0,1.34
2026-06-21T21:45:00Z,72.0,1.44
2026-06-21T22:00:00Z,71.0,1.42
2026-06-21T22:15:00Z,71.0,1.42
2026-06-21T22:30:00Z,71.0,1.42
2026-06-21T22:45:00Z,69.0,1.38
2026-06-21T23:00:00Z,68.0,1.36
2026-06-21T23:15:00Z,64.0,1.28
2026-06-21T21:00:00Z,65.0,1.3
2026-06-21T21:15:00Z,67.0,1.34
2026-06-21T21:30:00Z,67.0,1.34
2026-06-21T21:45:00Z,72.0,1.44
2026-06-21T22:00:00Z,71.0,1.42
2026-06-21T22:15:00Z,71.0,1.42
2026-06-21T22:30:00Z,71.0,1.42
2026-06-21T22:45:00Z,69.0,1.38
2026-06-21T23:00:00Z,68.0,1.36
2026-06-21T23:15:00Z,64.0,1.28
