date,hour,eolica_mwh,fotovoltaica_mwh,total_mwh
2026-05-01,0,2224.3,0.1,45181.6
2026-05-01,1,1822.8,0.0,43349.4
2026-05-01,2,1484.3,0.0,42042.4
2026-05-01,3,1385.8,0.0,40740.7
2026-05-01,4,1372.4,0.0,39837.4
2026-05-01,5,1193.3,2.2,38495.0
2026-05-01,6,1034.0,332.7,36667.0
2026-05-01,7,1112.8,2979.5,36121.4
2026-05-01,8,1497.2,5381.7,36590.8
2026-05-01,9,1569.1,6033.0,37163.7
2026-05-01,10,1671.5,6420.6,37581.5
2026-05-01,11,1771.1,6658.8,38128.9
2026-05-01,12,1896.0,6688.9,38780.6
2026-05-01,13,1843.0,6711.1,39484.7
2026-05-01,14,1858.5,6711.2,40482.8
2026-05-01,15,2310.7,6419.9,41447.0
2026-05-01,16,2803.8,5919.5,42514.0
2026-05-01,17,3306.6,4815.4,43043.4
2026-05-01,18,3551.6,2254.5,43319.1
2026-05-01,19,3449.7,299.0,44771.2
2026-05-01,20,3397.8,36.9,45410.5
2026-05-01,21,3411.4,20.2,44852.2
2026-05-01,22,3431.1,20.0,43813.3
2026-05-01,23,3255.7,20.0,42359.5
2026-05-02,0,3089.7,6.2,40566.0
2026-05-02,1,3023.2,0.0,38966.6
2026-05-02,2,2942.8,0.0,37739.3
2026-05-02,3,2763.8,0.0,36916.4
2026-05-02,4,2502.4,0.0,36247.8
2026-05-02,5,2379.5,1.9,35811.8
2026-05-02,6,2179.5,329.5,35368.0
2026-05-02,7,2250.8,2915.3,36137.4
2026-05-02,8,2185.4,5394.7,37163.3
2026-05-02,9,1969.6,5848.7,38029.4
2026-05-02,10,2022.4,5758.7,38415.5
2026-05-02,11,2171.5,5905.9,39095.1
2026-05-02,12,1971.9,6006.3,39738.5
2026-05-02,13,2071.7,5926.6,40087.2
2026-05-02,14,2155.1,5883.1,40512.1
2026-05-02,15,2151.3,6149.3,41415.9
2026-05-02,16,2026.0,5878.9,42096.3
2026-05-02,17,1977.2,4627.4,42807.3
2026-05-02,18,1938.7,2031.9,42926.8
2026-05-02,19,2354.6,267.7,44473.4
2026-05-02,20,2783.8,29.6,44749.7
2026-05-02,21,2683.4,20.1,43983.0
2026-05-02,22,2443.9,20.0,42776.2
2026-05-02,23,2441.9,17.9,41338.8
2026-05-03,0,2449.7,0.5,39672.5
2026-05-03,1,2303.1,0.0,38107.5
2026-05-03,2,2194.5,0.0,36915.8
2026-05-03,3,2504.4,0.0,36132.7
2026-05-03,4,2589.7,0.0,35256.7
2026-05-03,5,2613.6,1.2,34686.6
2026-05-03,6,2778.6,274.6,33372.3
2026-05-03,7,2806.9,2520.8,33350.0
2026-05-03,8,2757.0,4025.0,33445.0
2026-05-03,9,2803.9,5021.5,33623.2
2026-05-03,10,2789.8,5485.7,33966.0
2026-05-03,11,2739.7,6419.1,34658.2
2026-05-03,12,2804.6,6292.9,35258.5
2026-05-03,13,2921.5,5880.2,36062.8
2026-05-03,14,3063.9,6178.0,36894.6
2026-05-03,15,3124.7,5652.7,37545.4
2026-05-03,16,3342.2,4805.8,38575.7
2026-05-03,17,3473.8,3405.0,39566.9
2026-05-03,18,4026.4,1266.3,40375.3
2026-05-03,19,4253.7,160.0,42207.4
2026-05-03,20,4285.5,25.0,42961.5
2026-05-03,21,4219.8,20.0,42525.2
2026-05-03,22,4005.1,20.0,41599.6
2026-05-03,23,4044.2,12.7,40270.0
2026-05-04,0,4132.3,1.6,38488.7
2026-05-04,1,3973.9,0.0,37329.0
2026-05-04,2,3908.3,0.0,36201.0
2026-05-04,3,3847.3,0.0,35571.6
2026-05-04,4,3699.0,0.0,35311.5
2026-05-04,5,3507.6,1.2,35442.1
2026-05-04,6,3350.8,351.4,36096.1
2026-05-04,7,2908.0,2958.5,37956.6
2026-05-04,8,3218.9,5069.1,39898.7
2026-05-04,9,3293.5,6019.6,41216.2
2026-05-04,10,3318.7,6701.7,42406.0
2026-05-04,11,3199.5,6936.8,43001.3
2026-05-04,12,3000.7,6869.1,43886.6
2026-05-04,13,2866.7,6659.9,44783.3
2026-05-04,14,2851.9,6370.2,45945.3
2026-05-04,15,2933.0,6052.6,47199.9
2026-05-04,16,2916.5,5186.0,48238.0
2026-05-04,17,3262.8,3608.0,48149.4
2026-05-04,18,3294.8,1296.8,47855.0
2026-05-04,19,3041.8,137.6,48745.1
2026-05-04,20,2871.1,30.0,48944.9
2026-05-04,21,2807.5,20.0,48303.0
2026-05-04,22,2826.3,20.0,47409.8
2026-05-04,23,2943.3,20.0,45742.2
2026-05-05,0,2811.4,4.1,43624.7
2026-05-05,1,2590.8,0.0,42031.2
2026-05-05,2,2545.2,0.0,41003.6
2026-05-05,3,2386.5,0.0,39897.2
2026-05-05,4,2314.6,0.0,39611.0
2026-05-05,5,2137.1,2.4,39349.7
2026-05-05,6,2050.3,311.5,39321.4
2026-05-05,7,2086.1,2716.6,40516.5
2026-05-05,8,2131.9,5038.5,42007.6
2026-05-05,9,2301.9,6266.2,42984.9
2026-05-05,10,2331.5,6592.8,43785.5
2026-05-05,11,2387.8,6851.1,44673.5
2026-05-05,12,2241.5,6791.9,45634.7
2026-05-05,13,2279.0,6659.0,46843.2
2026-05-05,14,2483.0,6524.3,48118.5
2026-05-05,15,2662.7,6313.9,49613.0
2026-05-05,16,2800.1,5450.4,50381.1
