year,region_id,country,kind,curtailed_energy_twh,curtailed_energy_mwh,source_tier,source_type,source_name,source_url,source_dataset,source_field_formula,interval_hours,calendar_coverage,definition_status,validation_doc,research_artifact,notes
2025,brazil-rn-wind,BRA,wind,10.874453,10874453,source_verified_annual_floor,direct_constrained_off,ONS Brazil wind constrained-off *_tm open data,https://ons-aws-prod-opendata.s3.amazonaws.com/dataset/,restricao_coff_eolica_tm,"sum(max(val_geracaoreferencia - val_geracao, 0) * 0.5h) over half-hours where val_geracaolimitada is non-null (ONS GNRa definition; val_geracaonaorealizadaapurada read directly where the file carries it)",0.5,2025-01-01 through 2025-12-31 monthly ONS *_tm CSV files,source_fields_locked,docs/validation/brazil-ons-annual-floor-2025.md,docs/research/2026-09-10-brazil-ons-calendar-year-2025.md,ONS GNRa definition per the dataset dictionary. Reason split: ENE 4.935 / CNF 5.687 / REL 0.252 TWh. val_geracaoreferenciafinal (REL-only settlement column) and the val_geracaolimitada cap are not used as energy.
2025,brazil-bahia-wind,BRA,wind,8.994849,8994849,source_verified_annual_floor,direct_constrained_off,ONS Brazil wind constrained-off *_tm open data,https://ons-aws-prod-opendata.s3.amazonaws.com/dataset/,restricao_coff_eolica_tm,"sum(max(val_geracaoreferencia - val_geracao, 0) * 0.5h) over half-hours where val_geracaolimitada is non-null (ONS GNRa definition; val_geracaonaorealizadaapurada read directly where the file carries it)",0.5,2025-01-01 through 2025-12-31 monthly ONS *_tm CSV files,source_fields_locked,docs/validation/brazil-ons-annual-floor-2025.md,docs/research/2026-09-10-brazil-ons-calendar-year-2025.md,ONS GNRa definition per the dataset dictionary. Reason split: ENE 4.226 / CNF 2.222 / REL 2.547 TWh. val_geracaoreferenciafinal (REL-only settlement column) and the val_geracaolimitada cap are not used as energy.
2025,brazil-mg-solar,BRA,solar,5.001589,5001589,source_verified_annual_floor,direct_constrained_off,ONS Brazil solar constrained-off *_tm open data,https://ons-aws-prod-opendata.s3.amazonaws.com/dataset/,restricao_coff_fotovoltaica_tm,"sum(max(val_geracaoreferencia - val_geracao, 0) * 0.5h) over half-hours where val_geracaolimitada is non-null (ONS GNRa definition; val_geracaonaorealizadaapurada read directly where the file carries it)",0.5,2025-01-01 through 2025-12-31 monthly ONS *_tm CSV files,source_fields_locked,docs/validation/brazil-ons-annual-floor-2025.md,docs/research/2026-09-10-brazil-ons-calendar-year-2025.md,ONS GNRa definition per the dataset dictionary. Reason split: ENE 2.878 / CNF 1.370 / REL 0.753 TWh. val_geracaoreferenciafinal (REL-only settlement column) and the val_geracaolimitada cap are not used as energy.
2025,chile-sen-solar,CHL,solar,4.405403579109605,4405403.579109605,source_verified_annual_floor,direct_operator_workbook,Coordinador Electrico Nacional Chile monthly renewable generation reduction workbooks,https://www.coordinador.cl/operacion/documentos/reducciones-de-generacion-renovable/,Reducciones-de-Energia-Eolica-Solar-Hidro-en-el-SEN monthly XLSX,sum(plant-level hourly MWh reductions from the relevant CEN wind/solar reduction sheet),1,2025-01 through 2025-12; 12 monthly CEN workbooks,source_fields_locked,docs/validation/chile-cen-annual-floor-2025.md,docs/research/2026-05-08-chile-cen-annual-floor-2025.md,CEN SEN-wide solar generation reductions. This floor-only id avoids treating the national source as an Atacama-only dashboard row. Hydro reductions are excluded.
2025,brazil-ce-wind,BRA,wind,2.461756,2461756,source_verified_annual_floor,direct_constrained_off,ONS Brazil wind constrained-off *_tm open data,https://ons-aws-prod-opendata.s3.amazonaws.com/dataset/,restricao_coff_eolica_tm,"sum(max(val_geracaoreferencia - val_geracao, 0) * 0.5h) over half-hours where val_geracaolimitada is non-null (ONS GNRa definition; val_geracaonaorealizadaapurada read directly where the file carries it)",0.5,2025-01-01 through 2025-12-31 monthly ONS *_tm CSV files,source_fields_locked,docs/validation/brazil-ons-annual-floor-2025.md,docs/research/2026-09-10-brazil-ons-calendar-year-2025.md,ONS GNRa definition per the dataset dictionary. Reason split: ENE 1.446 / CNF 0.769 / REL 0.247 TWh. val_geracaoreferenciafinal (REL-only settlement column) and the val_geracaolimitada cap are not used as energy.
2025,brazil-piaui-wind,BRA,wind,2.388169,2388169,source_verified_annual_floor,direct_constrained_off,ONS Brazil wind constrained-off *_tm open data,https://ons-aws-prod-opendata.s3.amazonaws.com/dataset/,restricao_coff_eolica_tm,"sum(max(val_geracaoreferencia - val_geracao, 0) * 0.5h) over half-hours where val_geracaolimitada is non-null (ONS GNRa definition; val_geracaonaorealizadaapurada read directly where the file carries it)",0.5,2025-01-01 through 2025-12-31 monthly ONS *_tm CSV files,source_fields_locked,docs/validation/brazil-ons-annual-floor-2025.md,docs/research/2026-09-10-brazil-ons-calendar-year-2025.md,ONS GNRa definition per the dataset dictionary. Reason split: ENE 1.567 / CNF 0.624 / REL 0.197 TWh. val_geracaoreferenciafinal (REL-only settlement column) and the val_geracaolimitada cap are not used as energy.
2025,brazil-bahia-solar,BRA,solar,1.889779,1889779,source_verified_annual_floor,direct_constrained_off,ONS Brazil solar constrained-off *_tm open data,https://ons-aws-prod-opendata.s3.amazonaws.com/dataset/,restricao_coff_fotovoltaica_tm,"sum(max(val_geracaoreferencia - val_geracao, 0) * 0.5h) over half-hours where val_geracaolimitada is non-null (ONS GNRa definition; val_geracaonaorealizadaapurada read directly where the file carries it)",0.5,2025-01-01 through 2025-12-31 monthly ONS *_tm CSV files,source_fields_locked,docs/validation/brazil-ons-annual-floor-2025.md,docs/research/2026-09-10-brazil-ons-calendar-year-2025.md,ONS GNRa definition per the dataset dictionary. Reason split: ENE 1.134 / CNF 0.439 / REL 0.318 TWh. val_geracaoreferenciafinal (REL-only settlement column) and the val_geracaolimitada cap are not used as energy.
2025,chile-wind,CHL,wind,1.6198148394071927,1619814.8394071928,source_verified_annual_floor,direct_operator_workbook,Coordinador Electrico Nacional Chile monthly renewable generation reduction workbooks,https://www.coordinador.cl/operacion/documentos/reducciones-de-generacion-renovable/,Reducciones-de-Energia-Eolica-Solar-Hidro-en-el-SEN monthly XLSX,sum(plant-level hourly MWh reductions from the relevant CEN wind/solar reduction sheet),1,2025-01 through 2025-12; 12 monthly CEN workbooks,source_fields_locked,docs/validation/chile-cen-annual-floor-2025.md,docs/research/2026-05-08-chile-cen-annual-floor-2025.md,CEN SEN-wide wind generation reductions from the Eolico sheet. Hydro reductions are excluded.
2025,brazil-piaui-solar,BRA,solar,1.283347,1283347,source_verified_annual_floor,direct_constrained_off,ONS Brazil solar constrained-off *_tm open data,https://ons-aws-prod-opendata.s3.amazonaws.com/dataset/,restricao_coff_fotovoltaica_tm,"sum(max(val_geracaoreferencia - val_geracao, 0) * 0.5h) over half-hours where val_geracaolimitada is non-null (ONS GNRa definition; val_geracaonaorealizadaapurada read directly where the file carries it)",0.5,2025-01-01 through 2025-12-31 monthly ONS *_tm CSV files,source_fields_locked,docs/validation/brazil-ons-annual-floor-2025.md,docs/research/2026-09-10-brazil-ons-calendar-year-2025.md,ONS GNRa definition per the dataset dictionary. Reason split: ENE 0.824 / CNF 0.304 / REL 0.155 TWh. val_geracaoreferenciafinal (REL-only settlement column) and the val_geracaolimitada cap are not used as energy.
2025,brazil-rn-solar,BRA,solar,0.876713,876713,source_verified_annual_floor,direct_constrained_off,ONS Brazil solar constrained-off *_tm open data,https://ons-aws-prod-opendata.s3.amazonaws.com/dataset/,restricao_coff_fotovoltaica_tm,"sum(max(val_geracaoreferencia - val_geracao, 0) * 0.5h) over half-hours where val_geracaolimitada is non-null (ONS GNRa definition; val_geracaonaorealizadaapurada read directly where the file carries it)",0.5,2025-01-01 through 2025-12-31 monthly ONS *_tm CSV files,source_fields_locked,docs/validation/brazil-ons-annual-floor-2025.md,docs/research/2026-09-10-brazil-ons-calendar-year-2025.md,ONS GNRa definition per the dataset dictionary. Reason split: ENE 0.536 / CNF 0.281 / REL 0.060 TWh. val_geracaoreferenciafinal (REL-only settlement column) and the val_geracaolimitada cap are not used as energy.
