regionId,priceUSDperMWh,currency,fxToUsd,priceSource,priceYear,notes
china-anhui,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,China grid average wholesale ~55 CNY/MWh
china-beijing,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-chongqing-hydro,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-chongqing-solar,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-fujian,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-guangdong,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-guizhou-hydro,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-guizhou-solar,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-hainan,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-henan,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-hubei-hydro,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-hubei-solar,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-hubei-wind,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-hunan-hydro,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-hunan-solar,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-hunan-wind,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-jiangsu-solar,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-jiangsu-wind,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-jiangxi,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-liaoning,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-shaanxi,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-shandong,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-shanghai,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-shanxi-solar,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-shanxi-wind,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-tianjin,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
china-zhejiang,7.59,CNY,0.138,IEA World Energy Prices 2024,2024,
inner-mongolia,6.90,CNY,0.138,IEA World Energy Prices 2024,2024,Curtailment-heavy grid ~50 CNY/MWh
gansu-wind,6.90,CNY,0.138,IEA World Energy Prices 2024,2024,
gansu-solar,6.90,CNY,0.138,IEA World Energy Prices 2024,2024,
qinghai,6.90,CNY,0.138,IEA World Energy Prices 2024,2024,
ningxia-wind,6.90,CNY,0.138,IEA World Energy Prices 2024,2024,
ningxia-solar,6.90,CNY,0.138,IEA World Energy Prices 2024,2024,
yunnan,6.90,CNY,0.138,IEA World Energy Prices 2024,2024,
tibet,6.21,CNY,0.138,IEA World Energy Prices 2024,2024,~45 CNY/MWh
india-rajasthan,42,INR,0.012,CERC Annual Report 2024,2024,3500 INR/MWh on IEX
india-gujarat,42,INR,0.012,CERC Annual Report 2024,2024,
india-tamil-nadu,42,INR,0.012,CERC Annual Report 2024,2024,
india-karnataka,42,INR,0.012,CERC Annual Report 2024,2024,
india-andhra-pradesh,42,INR,0.012,CERC Annual Report 2024,2024,
india-maharashtra,42,INR,0.012,CERC Annual Report 2024,2024,
india-north,42,INR,0.012,CERC Annual Report 2024,2024,
india-south,42,INR,0.012,CERC Annual Report 2024,2024,
india-east,42,INR,0.012,CERC Annual Report 2024,2024,
india-west,42,INR,0.012,CERC Annual Report 2024,2024,
pakistan-wind,30,USD,1.0,NEPRA State of Industry Report 2024,2024,Pakistan NEPRA avg wholesale
pakistan-solar,30,USD,1.0,NEPRA State of Industry Report 2024,2024,
indonesia,60,USD,1.0,IEA World Energy Prices 2024,2024,
malaysia,55,USD,1.0,IEA World Energy Prices 2024,2024,
vietnam,55,USD,1.0,IEA World Energy Prices 2024,2024,
thailand,65,USD,1.0,IEA World Energy Prices 2024,2024,
philippines,110,USD,1.0,IEA World Energy Prices 2024,2024,
