region_id,state_region,fuel,frustrated_generation_twh,limited_setpoint_twh,positive_frustrated_half_hour_rows,positive_limited_half_hour_rows
brazil-bahia-wind,brazil-bahia,wind,2.011318,15.469707,42780,275105
brazil-mg-solar,brazil-mg,solar,0.618557,7.877541,5440,72992
brazil-bahia-solar,brazil-bahia,solar,0.285014,2.129628,6132,49421
brazil-ce-wind,brazil-ce,wind,0.212127,2.194821,11738,118287
brazil-rn-wind,brazil-rn,wind,0.198758,18.089859,7807,493919
brazil-piaui-solar,brazil-piaui,solar,0.129039,1.980130,1863,30990
brazil-piaui-wind,brazil-piaui,wind,0.089341,5.700907,1452,55052
brazil-ce-solar,brazil-ce,solar,0.065415,1.643363,1586,39042
brazil-pernambuco-wind,brazil-pernambuco,wind,0.046652,0.740971,1715,27625
brazil-rn-solar,brazil-rn,solar,0.045578,2.593112,942,35419
brazil-pernambuco-solar,brazil-pernambuco,solar,0.034216,1.404805,789,27334
brazil-paraiba-wind,brazil-paraiba,wind,0.029094,1.039964,1131,22848
brazil-sp-solar,brazil-sp,solar,0.017310,0.847596,616,19289
brazil-paraiba-solar,brazil-paraiba,solar,0.015757,0.642569,397,12859
brazil-maranhao-wind,brazil-maranhao,wind,0.009455,0.254865,143,2855
brazil-rs-wind,brazil-rs,wind,0.000180,0.395115,9,16736
brazil-other-wind,brazil-other,wind,0.000000,0.044661,0,3153
