priority,readiness_label,region_id,country,kind,source_type,published_annual_twh,include_in_source_verified_floor,include_in_modelled_envelope,manual_review_required,annual_value_basis,definition_notes,source,source_url,validation_doc
P0,high_impact_modelled_backlog,paraguay,PRY,hydro,modelled_or_fallback,8.960000,no_modelled_envelope_only,yes,no,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,Itaipu fallback,https://www.itaipu.gov.py/,docs/validation/paraguay.md
P0,high_impact_modelled_backlog,yunnan,CHN,hydro,modelled_or_fallback,5.520000,no_modelled_envelope_only,yes,no,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,NEA 2024 / Yunnan statistics,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,docs/validation/yunnan.md
P0,high_impact_modelled_backlog,china-shandong,CHN,solar,modelled_or_fallback,4.500000,no_modelled_envelope_only,yes,no,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,NEA 2024 provincial RE monitoring bulletin — solar curtailment ~4.5 TWh/yr (96.3% PV utilisation),https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,docs/validation/china-shandong.md
P0,high_impact_modelled_backlog,inner-mongolia,CHN,wind,modelled_or_fallback,4.000000,no_modelled_envelope_only,yes,no,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,NEA 2024 / Huaon-NBS generation,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,docs/validation/inner-mongolia.md
P0,high_impact_modelled_backlog,vietnam,VNM,solar,modelled_or_fallback,4.000000,no_modelled_envelope_only,yes,no,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,EVN fallback,https://www.evn.com.vn/,docs/validation/vietnam.md
P0,high_impact_modelled_backlog,india-rajasthan,IND,solar,generation_or_feed_x_rate,3.500000,no_modelled_envelope_only,yes,yes,modelled annual central encoded in static/typical snapshot,generation/feed multiplied by citable or assumed curtailment rate; check source scope,RRVPNL SLDC (Rajasthan State Load Despatch Centre) — RE curtailment downloads at sldc.rajasthan.gov.in. Geoblocked from non-Indian IP ranges; loader currently emits T3-modelled typical-shape calibrated to Ember India 2025 (~3.5 TWh/yr solar curtailment). Will be promoted to T1a-live-tso when the India-egress relay activates the live parse.,https://sldc.rajasthan.gov.in/,docs/validation/india-rajasthan.md
P0,high_impact_modelled_backlog,china-guangdong,CHN,mixed,modelled_or_fallback,3.200000,no_modelled_envelope_only,yes,yes,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,NEA 2024 provincial RE monitoring bulletin — CSG-grid mixed wind+solar curtailment ~3.2 TWh/yr,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,docs/validation/china-guangdong.md
P1,high_impact_modelled_backlog,ethiopia,ETH,hydro,modelled_or_fallback,2.560000,no_modelled_envelope_only,yes,no,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,EEP fallback,https://www.eep.com.et/,docs/validation/ethiopia.md
P1,high_impact_modelled_backlog,china-anhui,CHN,solar,modelled_or_fallback,2.100000,no_modelled_envelope_only,yes,no,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,NEA 2024 provincial RE monitoring bulletin — solar curtailment ~2.1 TWh/yr,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,docs/validation/china-anhui.md
P1,high_impact_modelled_backlog,gansu-wind,CHN,wind,modelled_or_fallback,1.800000,no_modelled_envelope_only,yes,yes,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,NEA 2024 / Gansu MIIT generation,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,docs/validation/gansu-wind.md
P1,high_impact_modelled_backlog,china-liaoning,CHN,wind,modelled_or_fallback,1.600000,no_modelled_envelope_only,yes,no,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,NEA 2024 provincial RE monitoring bulletin — wind curtailment ~1.6 TWh/yr (northeast grid transmission constraint),https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,docs/validation/china-liaoning.md
P1,high_impact_modelled_backlog,qinghai,CHN,solar,modelled_or_fallback,1.500000,no_modelled_envelope_only,yes,no,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,NEA 2024 / Huaon-NBS generation,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,docs/validation/qinghai.md
P1,high_impact_modelled_backlog,china-jiangsu-solar,CHN,solar,modelled_or_fallback,1.400000,no_modelled_envelope_only,yes,yes,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,NEA 2024 provincial RE monitoring bulletin — solar curtailment (solar 50% of ~2.8 TWh/yr),https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,docs/validation/china-jiangsu-solar.md
P1,high_impact_modelled_backlog,china-jiangsu-wind,CHN,wind,modelled_or_fallback,1.400000,no_modelled_envelope_only,yes,yes,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,NEA 2024 provincial RE monitoring bulletin — offshore wind curtailment (wind 50% of ~2.8 TWh/yr),https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,docs/validation/china-jiangsu-wind.md
P1,high_impact_modelled_backlog,british-columbia,CAN,hydro,modelled_or_fallback,1.260000,no_modelled_envelope_only,yes,no,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,BC Hydro fallback,https://www.bchydro.com/,docs/validation/british-columbia.md
P1,high_impact_modelled_backlog,pakistan-wind,PAK,wind,modelled_or_fallback,1.206000,no_modelled_envelope_only,yes,no,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,"NEPRA State of Industry Report 2024: NPMV wind = 1,337 GWh FY2023-24 (Jhimpir/Gharo/Thatta wind corridor, Sindh). Wind 90% of total.",https://nepra.org.pk/publications/State%20of%20Industry%20Reports/State%20of%20Industry%20Report%202024.pdf,docs/validation/pakistan-wind.md
P1,high_impact_modelled_backlog,gansu-solar,CHN,solar,modelled_or_fallback,1.200000,no_modelled_envelope_only,yes,yes,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,NEA 2024 / Gansu MIIT generation,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,docs/validation/gansu-solar.md
P1,high_impact_modelled_backlog,mexico,MEX,solar,modelled_or_fallback,1.200000,no_modelled_envelope_only,yes,yes,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,SENER PRODESEN 2024-2038 + CRE confiabilidad reports — ~1.2 TWh/yr solar+wind curtailment from northern-grid transmission saturation (Sonora/Chihuahua/Coahuila/Oaxaca). Excludes hydro vertimientos. Gemini-3.1 research wave 2 (2026-04-30).,https://www.gob.mx/sener/documentos/programa-de-desarrollo-del-sistema-electrico-nacional-2024-2038,docs/validation/mexico.md
P1,high_impact_modelled_backlog,ukraine,UKR,solar,modelled_or_fallback,1.200000,no_modelled_envelope_only,yes,no,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,Ember Ukraine 2024 (ENTSO-E absent post-war),https://ember-energy.org/global-insights/ukraine-electricity-tracker/,docs/validation/ukraine.md
P1,high_impact_modelled_backlog,china-shaanxi,CHN,solar,modelled_or_fallback,1.100000,no_modelled_envelope_only,yes,no,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,NEA 2024 provincial RE monitoring bulletin — solar curtailment ~1.1 TWh/yr (Guanzhong basin PV),https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,docs/validation/china-shaanxi.md
P1,high_impact_modelled_backlog,russia-mainland,RUS,hydro,modelled_or_fallback,1.080000,no_modelled_envelope_only,yes,no,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,SO UES fallback,https://www.so-ups.ru/,docs/validation/russia-mainland.md
P1,high_impact_modelled_backlog,tibet,CHN,hydro,modelled_or_fallback,1.008000,no_modelled_envelope_only,yes,no,modelled annual central encoded in static/typical snapshot,annual/modelled central value mapped to typical profile; not measured hourly curtailment,NEA 2024 / Huaon-NBS generation,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,docs/validation/tibet.md
P1,high_impact_modelled_backlog,india-gujarat,IND,solar,generation_or_feed_x_rate,1.000000,no_modelled_envelope_only,yes,no,modelled annual central encoded in static/typical snapshot,generation/feed multiplied by citable or assumed curtailment rate; check source scope,GSLDC (Gujarat State Load Despatch Centre / GETCO) — RE curtailment reports at sldc.gujarat.gov.in. Geoblocked from non-Indian IP ranges; loader currently emits T3-modelled typical-shape calibrated to POSOCO/Ember India 2024 (~1.0 TWh/yr solar curtailment). Will be promoted to T1a-live-tso when the India-egress relay activates the live parse.,https://sldc.gujarat.gov.in/,docs/validation/india-gujarat.md
P1,high_impact_modelled_backlog,india-tamil-nadu,IND,wind,generation_or_feed_x_rate,1.000000,no_modelled_envelope_only,yes,no,modelled annual central encoded in static/typical snapshot,generation/feed multiplied by citable or assumed curtailment rate; check source scope,TNSLDC (Tamil Nadu State Load Despatch Centre / TANTRANSCO) — RE curtailment and system operation reports at tnsldc.com. Geoblocked from non-Indian IP ranges; loader currently emits T3-modelled typical-shape calibrated to POSOCO South Region 2024 (~1.0 TWh/yr wind curtailment; India's largest wind state). Will be promoted to T1a-live-tso when the India-egress relay activates the live parse.,https://tnsldc.com/,docs/validation/india-tamil-nadu.md
P1,near_ready_needs_calendar_year_aggregation,aemo-nsw-solar,AUS,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb solar SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-nsw-solar.md
P1,near_ready_needs_calendar_year_aggregation,aemo-nsw-wind,AUS,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb wind SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-nsw-wind.md
