report_title,date,fuel,from_time,to_time,duration_hours,actual_generation_mw,relief_mw,curtailed_mwh,curtailed_twh,reason,extraction_method,confidence,source_page,notes,source_url
Curtailment_RE_Power_Jan.2026,2026-01-14,solar,13:52,14:40,0.8000,6523.000,152.000,121.600,0.000121600,Due to overload of 400 KV GSS Bhadla ICT's,manual_from_scanned_pdf,medium,14,Source is image-only under pdftotext; values transcribed from rendered page 14.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/697ec76b4b8cb_Curtailment_RE_Power_Jan.2026.pdf
Curtailment_RE_Power_Jan.2026,2026-01-14,solar,14:40,16:25,1.7500,5745.000,1108.000,1939.000,0.001939000,Due to multiple tripping in RE pocket of Rajasthan,manual_from_scanned_pdf,medium,15,Source is image-only under pdftotext; values transcribed from rendered page 15.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/697ec76b4b8cb_Curtailment_RE_Power_Jan.2026.pdf
Curtailment_RE_Power_30 & 31 march 2026,2026-03-30,solar,13:48,15:15,1.4500,8470.000,55.000,79.750,0.000079750,Due to overloading of ICT's at 400 KV GSS Bikaner,manual_from_scanned_pdf,medium,1,Source is image-only under pdftotext; values transcribed from rendered page 1.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69ccecaa19810_Curtailment_RE_Power_30&31march2026.pdf
Curtailment_RE_Power_30 & 31 march 2026,2026-03-30,solar,13:50,15:31,1.6833,8636.000,75.000,126.250,0.000126250,Due to overloading of ICT's at 400 KV GSS Bhadla,manual_from_scanned_pdf,medium,2,Source is image-only under pdftotext; values transcribed from rendered page 2.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69ccecaa19810_Curtailment_RE_Power_30&31march2026.pdf
Curtailment_RE_Power_30 & 31 march 2026,2026-03-31,solar,10:28,11:20,0.8667,6078.000,60.000,52.000,0.000052000,Due to overloading of ICT's at 400 KV GSS Bikaner,manual_from_scanned_pdf,medium,3,Source is image-only under pdftotext; values transcribed from rendered page 3.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69ccecaa19810_Curtailment_RE_Power_30&31march2026.pdf
Curtailment_RE_Power_30 & 31 march 2026,2026-03-31,solar,11:20,13:25,2.0833,6077.000,58.000,120.833,0.000120833,Due to overloading of ICT's at 400 KV GSS Bikaner,manual_from_scanned_pdf,medium,4,Source is image-only under pdftotext; values transcribed from rendered page 4.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69ccecaa19810_Curtailment_RE_Power_30&31march2026.pdf
Curtailment_RE_Power_30 & 31 march 2026,2026-03-31,solar,12:23,15:06,2.7167,6473.000,70.000,190.167,0.000190167,Due to overloading of ICT's at 400 KV GSS Bhadla,manual_from_scanned_pdf,medium,5,Source is image-only under pdftotext; values transcribed from rendered page 5.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69ccecaa19810_Curtailment_RE_Power_30&31march2026.pdf
Curtailment_RE_Power_30 & 31 march 2026,2026-03-31,solar,13:25,15:06,1.6833,6869.000,50.000,84.167,0.000084167,Due to overloading of ICT's at 400 KV GSS Bikaner and outage of 220 KV Bikaner-Suratgarh line,manual_from_scanned_pdf,medium,6,Source is image-only under pdftotext; values transcribed from rendered page 6.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69ccecaa19810_Curtailment_RE_Power_30&31march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-20,solar,10:10,14:30,4.3333,5649.000,50.000,216.667,0.000216667,Due to overloading Bikaner ICT's,manual_from_scanned_pdf,medium,1,Source is image-only under pdftotext; values transcribed from rendered page 1.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-20,solar,11:09,15:10,4.0167,6394.000,90.000,361.500,0.000361500,Due to overloading Bhadla ICT's,manual_from_scanned_pdf,medium,2,Source is image-only under pdftotext; values transcribed from rendered page 2.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-21,solar,10:44,13:30,2.7667,7229.000,1005.000,2780.500,0.002780500,Due to high frequency and heavy underdrawal in Rajasthan with real-time loading,manual_from_scanned_pdf,medium,3,Source is image-only under pdftotext; values transcribed from rendered page 3; mixed-fuel row split by reported solar and wind curtailment MW.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-21,wind,10:44,13:30,2.7667,7229.000,105.000,290.500,0.000290500,Due to high frequency and heavy underdrawal in Rajasthan with real-time loading,manual_from_scanned_pdf,medium,3,Source is image-only under pdftotext; values transcribed from rendered page 3; mixed-fuel row split by reported solar and wind curtailment MW.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-21,solar,13:30,14:48,1.3000,5804.000,1405.000,1826.500,0.001826500,Due to high frequency and heavy underdrawal in Rajasthan with real-time loading,manual_from_scanned_pdf,medium,4,Source is image-only under pdftotext; values transcribed from rendered page 4; mixed-fuel row split by reported solar and wind curtailment MW.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-21,wind,13:30,14:48,1.3000,5804.000,205.000,266.500,0.000266500,Due to high frequency and heavy underdrawal in Rajasthan with real-time loading,manual_from_scanned_pdf,medium,4,Source is image-only under pdftotext; values transcribed from rendered page 4; mixed-fuel row split by reported solar and wind curtailment MW.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-22,solar,10:05,15:36,5.5167,5730.000,1234.000,6807.567,0.006807567,Due to heavy underdrawal and high frequency in system,manual_from_scanned_pdf,medium,5,Source is image-only under pdftotext; values transcribed from rendered page 5; mixed-fuel row split by reported solar and wind curtailment MW.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-22,wind,10:05,15:36,5.5167,5730.000,16.000,88.267,0.000088267,Due to heavy underdrawal and high frequency in system,manual_from_scanned_pdf,medium,5,Source is image-only under pdftotext; values transcribed from rendered page 5; mixed-fuel row split by reported solar and wind curtailment MW.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
