report_title,date,fuel,from_time,to_time,duration_hours,actual_generation_mw,relief_mw,curtailed_mwh,curtailed_twh,reason,extraction_method,confidence,source_url
Curtailment_RE_Power_06 May - 2026,2026-05-06,solar,10:50,15:07,4.2833,6889.000,55.000,235.583,0.000235583,1 Gajner overloading 220 KV BIKANER - GAJNER LINE,pdf_text_event_row,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69fb3abd1450d_Curtailment_RE_Power_06May-2026.pdf
Curtailment_RE_Power_06 May - 2026,2026-05-06,solar,10:47,15:08,4.3500,6889.000,110.000,478.500,0.000478500,2 DUE TO OVERLOADING OF BHADLA ICT'S,pdf_text_event_row,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69fb3abd1450d_Curtailment_RE_Power_06May-2026.pdf
Curtailment_RE_Power_05 May - 2026,2026-05-05,solar,10:33,15:01,4.4667,6578.000,50.000,223.333,0.000223333,1 Gajner overloading 220 KV BIKANER - GAJNER LINE,pdf_text_event_row,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69fac1e7f37a9_Curtailment_RE_Power_05May-2026.pdf
Curtailment_RE_Power_05 May - 2026,2026-05-05,solar,10:48,14:56,4.1333,6796.000,108.000,446.400,0.000446400,2 DUE TO OVERLOADING OF BHADLA ICT'S,pdf_text_event_row,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69fac1e7f37a9_Curtailment_RE_Power_05May-2026.pdf
RE_Curtailment_03_May_2026,2026-05-03,solar,08:51,15:04,6.2167,4112.000,1250.000,7770.833,0.007770833,1 ALL RE (SOLAR AND WIND) Kindly Impose 30% curtailment on all solar,pdf_text_event_row,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f9721d9fbb3_FormatofRECurtailmenteventfoRDT03.05.2026.pdf
RE_Curtailment_03_May_2026,2026-05-03,wind,08:51,15:04,6.2167,328.000,98.000,609.233,0.000609233,1 ALL RE (SOLAR AND WIND) Kindly Impose 30% curtailment on all solar,pdf_text_event_row,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f9721d9fbb3_FormatofRECurtailmenteventfoRDT03.05.2026.pdf
RE_Curtailment_04_MAY_2026,2026-05-04,solar,10:07,12:10,2.0500,5892.000,1592.000,3263.600,0.003263600,1 ALL RE (SOLAR AND WIND) Kindly Impose 40% curtailment on all solar,pdf_text_event_row,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f9725538e56_FormatofRECurtailmenteventfoRDT04.05.2026.pdf
RE_Curtailment_04_MAY_2026,2026-05-04,wind,10:07,12:10,2.0500,221.000,25.000,51.250,0.000051250,1 ALL RE (SOLAR AND WIND) Kindly Impose 40% curtailment on all solar,pdf_text_event_row,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f9725538e56_FormatofRECurtailmenteventfoRDT04.05.2026.pdf
RE_Curtailment_04_MAY_2026,2026-05-04,solar,12:10,12:53,0.7167,4320.000,895.000,641.417,0.000641417,2 ALL RE (SOLAR AND WIND) KINDLY LIFT BACKDOWN ON RE,pdf_text_event_row,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f9725538e56_FormatofRECurtailmenteventfoRDT04.05.2026.pdf
RE_Curtailment_04_MAY_2026,2026-05-04,wind,12:10,12:53,0.7167,187.000,10.000,7.167,0.000007167,2 ALL RE (SOLAR AND WIND) KINDLY LIFT BACKDOWN ON RE,pdf_text_event_row,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f9725538e56_FormatofRECurtailmenteventfoRDT04.05.2026.pdf
RE_Curtailment_04_MAY_2026,2026-05-04,solar,13:08,14:18,1.1667,6749.000,125.000,145.833,0.000145833,Bhadla DUE TO OVERLOADING OF BHADLA ICT'S,pdf_text_event_row,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f9725538e56_FormatofRECurtailmenteventfoRDT04.05.2026.pdf
Curtailment_RE_Power_01 & 02 May - 2026,2026-05-01,solar,08:55,14:31,5.6000,4374.000,1800.000,10080.000,0.010080000,1 ALL RE (SOLAR AND WIND) Kindly Impose 40% curtailment on all solar,pdf_text_event_row,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f6db7ed3637_Curtailment_RE_Power_01&02May-2026.pdf
Curtailment_RE_Power_01 & 02 May - 2026,2026-05-01,wind,08:55,14:31,5.6000,324.000,95.000,532.000,0.000532000,1 ALL RE (SOLAR AND WIND) Kindly Impose 40% curtailment on all solar,pdf_text_event_row,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f6db7ed3637_Curtailment_RE_Power_01&02May-2026.pdf
Curtailment_RE_Power_01 & 02 May - 2026,2026-05-01,solar,14:31,14:57,0.4333,3688.000,900.000,390.000,0.000390000,2 Lift 20% curtailment (40%-20%=20%,pdf_text_event_row,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f6db7ed3637_Curtailment_RE_Power_01&02May-2026.pdf
Curtailment_RE_Power_01 & 02 May - 2026,2026-05-01,wind,14:31,14:57,0.4333,315.000,45.000,19.500,0.000019500,2 Lift 20% curtailment (40%-20%=20%,pdf_text_event_row,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f6db7ed3637_Curtailment_RE_Power_01&02May-2026.pdf
Curtailment_RE_Power_01 & 02 May - 2026,2026-05-02,solar,11:03,15:20,4.2833,6923.000,55.000,235.583,0.000235583,1 Gajner overloading 220 KV BIKANER - GAJNER LINE,pdf_text_event_row,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f6db7ed3637_Curtailment_RE_Power_01&02May-2026.pdf
Curtailment_RE_Power_01 & 02 May - 2026,2026-05-02,solar,11:07,15:23,4.2667,6923.000,125.000,533.333,0.000533333,2 Bhadla DUE TO OVERLOADING OF BHADLA ICT'S,pdf_text_event_row,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f6db7ed3637_Curtailment_RE_Power_01&02May-2026.pdf
Curtailment_RE_Power_29 & 30 April 2026,2026-04-29,solar,10:41,14:50,4.1500,6530.000,58.000,240.700,0.000240700,overloading 220 KV BIKANER - GAJNER LINE 1&2,manual_from_scanned_pdf,medium,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f58110e42f3_Curtailment_RE_Power_29&30April2026.pdf
Curtailment_RE_Power_29 & 30 April 2026,2026-04-29,solar,11:20,14:44,3.4000,6741.000,105.000,357.000,0.000357000,DUE TO OVERLOADING OF BHADLA ICT'S,manual_from_scanned_pdf,medium,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f58110e42f3_Curtailment_RE_Power_29&30April2026.pdf
Curtailment_RE_Power_29 & 30 April 2026,2026-04-30,solar,11:09,14:43,3.5667,6542.000,60.000,214.000,0.000214000,overloading 220 KV BIKANER - GAJNER LINE 1&2,manual_from_scanned_pdf,medium,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f58110e42f3_Curtailment_RE_Power_29&30April2026.pdf
Curtailment_RE_Power_29 & 30 April 2026,2026-04-30,solar,11:28,14:51,3.3833,6642.000,110.000,372.167,0.000372167,DUE TO OVERLOADING OF BHADLA ICT'S,manual_from_scanned_pdf,medium,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f58110e42f3_Curtailment_RE_Power_29&30April2026.pdf
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,solar,09:03,11:07,2.0667,4659.000,495.000,1023.000,0.001023000,Heavy underdrawl & high frequency (OP/04/149),pdf_text_monthly_summary,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,wind,09:03,11:07,2.0667,294.000,95.000,196.333,0.000196333,Heavy underdrawl & high frequency (OP/04/149),pdf_text_monthly_summary,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,solar,11:07,14:01,2.9000,4379.000,575.000,1667.500,0.001667500,Heavy underdrawl & high frequency (OP/04/154),pdf_text_monthly_summary,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,wind,11:07,14:01,2.9000,127.000,18.000,52.200,0.000052200,Heavy underdrawl & high frequency (OP/04/154),pdf_text_monthly_summary,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,solar,14:01,16:02,2.0167,3790.000,402.000,810.700,0.000810700,Heavy underdrawl & high frequency (OP/04/158),pdf_text_monthly_summary,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,wind,14:01,16:02,2.0167,156.000,25.000,50.417,0.000050417,Heavy underdrawl & high frequency (OP/04/158),pdf_text_monthly_summary,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
