report_title,date,fuel,from_time,to_time,duration_hours,actual_generation_mw,relief_mw,curtailed_mwh,curtailed_twh,reason,extraction_method,confidence,source_url
Curtailment_RE_Power_29 & 30 April 2026,2026-04-29,solar,10:41,14:50,4.1500,6530.000,58.000,240.700,0.000240700,overloading 220 KV BIKANER - GAJNER LINE 1&2,manual_from_scanned_pdf,medium,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f58110e42f3_Curtailment_RE_Power_29&30April2026.pdf
Curtailment_RE_Power_29 & 30 April 2026,2026-04-29,solar,11:20,14:44,3.4000,6741.000,105.000,357.000,0.000357000,DUE TO OVERLOADING OF BHADLA ICT'S,manual_from_scanned_pdf,medium,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f58110e42f3_Curtailment_RE_Power_29&30April2026.pdf
Curtailment_RE_Power_29 & 30 April 2026,2026-04-30,solar,11:09,14:43,3.5667,6542.000,60.000,214.000,0.000214000,overloading 220 KV BIKANER - GAJNER LINE 1&2,manual_from_scanned_pdf,medium,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f58110e42f3_Curtailment_RE_Power_29&30April2026.pdf
Curtailment_RE_Power_29 & 30 April 2026,2026-04-30,solar,11:28,14:51,3.3833,6642.000,110.000,372.167,0.000372167,DUE TO OVERLOADING OF BHADLA ICT'S,manual_from_scanned_pdf,medium,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f58110e42f3_Curtailment_RE_Power_29&30April2026.pdf
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,solar,09:03,11:07,2.0667,4659.000,495.000,1023.000,0.001023000,Heavy underdrawl & high frequency (OP/04/149),pdf_text_monthly_summary,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,wind,09:03,11:07,2.0667,294.000,95.000,196.333,0.000196333,Heavy underdrawl & high frequency (OP/04/149),pdf_text_monthly_summary,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,solar,11:07,14:01,2.9000,4379.000,575.000,1667.500,0.001667500,Heavy underdrawl & high frequency (OP/04/154),pdf_text_monthly_summary,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,wind,11:07,14:01,2.9000,127.000,18.000,52.200,0.000052200,Heavy underdrawl & high frequency (OP/04/154),pdf_text_monthly_summary,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,solar,14:01,16:02,2.0167,3790.000,402.000,810.700,0.000810700,Heavy underdrawl & high frequency (OP/04/158),pdf_text_monthly_summary,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,wind,14:01,16:02,2.0167,156.000,25.000,50.417,0.000050417,Heavy underdrawl & high frequency (OP/04/158),pdf_text_monthly_summary,high,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
