region_id,state_region,fuel,curtailed_energy_twh,ref_minus_cap_twh,ene_twh,cnf_twh,rel_twh,par_twh,other_reason_twh,constrained_half_hour_rows,positive_half_hour_rows,gnra_column_rows,gnra_mean_abs_diff_mw
brazil-rn-wind,brazil-rn,wind,10.874453,10.476298,4.935330,5.686884,0.252239,0.000000,0.000000,502515,427237,0,
brazil-bahia-wind,brazil-bahia,wind,8.994849,8.549848,4.225640,2.222243,2.546966,0.000000,0.000000,336472,284924,0,
brazil-mg-solar,brazil-mg,solar,5.001589,4.830078,2.877621,1.369998,0.753071,0.000000,0.000899,74968,61527,0,
brazil-ce-wind,brazil-ce,wind,2.461756,2.387540,1.445736,0.768917,0.247104,0.000000,0.000000,146240,125181,0,
brazil-piaui-wind,brazil-piaui,wind,2.388169,2.178425,1.566549,0.624479,0.197141,0.000000,0.000000,56778,51582,0,
brazil-bahia-solar,brazil-bahia,solar,1.889779,1.827138,1.133506,0.438504,0.317768,0.000000,0.000000,59123,51636,0,
brazil-piaui-solar,brazil-piaui,solar,1.283347,1.223781,0.824476,0.303537,0.155334,0.000000,0.000000,33329,28438,0,
brazil-rn-solar,brazil-rn,solar,0.876713,0.812412,0.535592,0.281489,0.059633,0.000000,0.000000,36214,26092,0,
brazil-ce-solar,brazil-ce,solar,0.726585,0.677640,0.494721,0.157528,0.074249,0.000000,0.000087,45280,34496,0,
brazil-pernambuco-solar,brazil-pernambuco,solar,0.699196,0.615083,0.398045,0.253726,0.047425,0.000000,0.000000,28814,23536,0,
brazil-paraiba-wind,brazil-paraiba,wind,0.518677,0.440117,0.335076,0.126232,0.057370,0.000000,0.000000,23551,21823,0,
brazil-pernambuco-wind,brazil-pernambuco,wind,0.477068,0.442996,0.300695,0.104436,0.071937,0.000000,0.000000,30052,26070,0,
brazil-sp-solar,brazil-sp,solar,0.316455,0.308369,0.291661,0.000811,0.023984,0.000000,0.000000,19682,13361,0,
brazil-rs-wind,brazil-rs,wind,0.273700,0.256209,0.272743,0.000119,0.000837,0.000000,0.000000,19457,16707,0,
brazil-paraiba-solar,brazil-paraiba,solar,0.204357,0.194523,0.144677,0.039950,0.019730,0.000000,0.000000,13149,8755,0,
brazil-maranhao-wind,brazil-maranhao,wind,0.194583,0.188065,0.159540,0.010346,0.024696,0.000000,0.000000,3047,2943,0,
brazil-other-wind,brazil-other,wind,0.029475,0.024805,0.029466,0.000009,0.000000,0.000000,0.000000,3558,3042,0,
