layer,public_use,next_gate,region_id,country,kind,source_type,confidence_tier,published_annual_twh,include_in_source_verified_floor,include_in_modelled_envelope,annual_value_basis,definition_notes,source,source_url,validation_doc
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",aemo-nsw-solar,AUS,solar,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb solar SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-nsw-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",aemo-nsw-wind,AUS,wind,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb wind SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-nsw-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",aemo-qld-solar,AUS,solar,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb solar SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-qld-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",aemo-qld-wind,AUS,wind,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb wind SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-qld-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",aemo-sa-solar,AUS,solar,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb solar SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-sa-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",aemo-sa-wind,AUS,wind,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb wind SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-sa-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",aemo-tas-solar,AUS,solar,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb solar SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-tas-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",aemo-tas-wind,AUS,wind,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb wind SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-tas-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",aemo-vic-solar,AUS,solar,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb solar SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-vic-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",aemo-vic-wind,AUS,wind,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb wind SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-vic-wind.md
