MetricId	Entity	Type	MaxDays	MetricUnits	MetricName
AporCaudal	Rio	DailyEntities	31	m3/s	Aportes Caudal por Rio
AporCaudalMediHist	Rio	DailyEntities	31	m3/s	Aportes Media Histórica Caudal por Rio
AporEner	Rio	DailyEntities	31	kWh	Aportes  Energía por Rio
AporEner	Sistema	DailyEntities	31	kWh	Aportes  Energía por Sistema
AporEnerMediHist	Rio	DailyEntities	31	kWh	Aportes Media Histórica Energía por Rio
AporEnerMediHist	Sistema	DailyEntities	31	kWh	Aportes Media Histórica Energía por Sistema
CEE	Sistema	MonthlyEntities	731	COP/kWh	CEE por Sistema
CERE	Sistema	MonthlyEntities	731	COP/kWh	CERE por Sistema
CapEfecNeta	Recurso	DailyEntities	31	kW	Capacidad Efectiva Neta por Recurso
CapaUtilDiarEner	Embalse	DailyEntities	31	kWh	Capacidad Útil Energía por Embalse
CapaUtilDiarEner	Sistema	DailyEntities	31	kWh	Capacidad Útil Energía por Sistema
CapaUtilDiarMasa	Embalse	DailyEntities	31	m3	Capacidad Útil Volumen por Embalse
CapaUtilDiarMasa	Sistema	DailyEntities	31	m3	Capacidad Útil Volumen por Sistema
CargMaxTPrima	Sistema	MonthlyEntities	731	COP/kWh	Cargo Máximo T Prima por Sistema
CargMedTPrima	Sistema	MonthlyEntities	731	COP/kWh	Cargo Media T Prima por Sistema
CargMinTPrima	Sistema	MonthlyEntities	731	COP/kWh	Cargo Mínimo T Prima por Sistema
CargoUsoSTN	Sistema	MonthlyEntities	731	COP	Cargos por Uso STN por Sistema
CargoUsoSTR	Sistema	MonthlyEntities	731	COP	Cargos por Uso STR por Sistema
ComContRespEner	Recurso	DailyEntities	31	COP	Compras Contrato Respaldo por Recurso
ComContRespEner	Sistema	DailyEntities	31	COP	Compras Contrato Respaldo por Sistema
CompBolsNaciEner	Agente	HourlyEntities	31	kWh	Compras Bolsa Nacional Energía por Agente
CompBolsNaciEner	Sistema	HourlyEntities	31	kWh	Compras Bolsa Nacional Energía por Sistema
CompBolsaIntEner	Agente	HourlyEntities	31	kWh	Compras Bolsa Internacional Energía por Agente
CompBolsaIntEner	Sistema	HourlyEntities	31	kWh	Compras Bolsa Internacional Energía por Sistema
CompBolsaIntMoneda	Agente	HourlyEntities	31	COP	Compras Bolsa Internacional Moneda por Agente
CompBolsaIntMoneda	Sistema	HourlyEntities	31	COP	Compras Bolsa Internacional Moneda por Sistema
CompBolsaNacMoneda	Sistema	HourlyEntities	31	COP	Compras Bolsa Nacional Moneda por Sistema
CompBolsaTIEEner	Agente	HourlyEntities	31	kWh	Compras Bolsa TIE Energía por Agente
CompBolsaTIEEner	Sistema	HourlyEntities	31	kWh	Compras Bolsa TIE Energía por Sistema
CompBolsaTIEMoneda	Agente	HourlyEntities	31	COP	Compras Bolsa TIE Moneda por Agente
CompBolsaTIEMoneda	Sistema	HourlyEntities	31	COP	Compras Bolsa TIE Moneda por Sistema
CompContEner	Agente	HourlyEntities	31	kWh	Compras en Contrato Energía por Agente
CompContEner	Sistema	HourlyEntities	31	kWh	Compras en Contrato Energía por Sistema
CompContEnerNoReg	Agente	HourlyEntities	31	kWh	Compras en Contrato Energía Mercado No Regulado por Agente
CompContEnerNoReg	Sistema	HourlyEntities	31	kWh	Compras en Contrato Energía  Mercado No Regulado por Sistema
CompContEnerReg	Agente	HourlyEntities	31	kWh	Compras en Contrato Energía Mercado Regulado por Agente
CompContEnerReg	Sistema	HourlyEntities	31	kWh	Compras en Contrato Energía Mercado Regulado por Sistema
CompContEnerSICEP	Agente	HourlyEntities	31	kWh	Compras en Contrato Energía en SICEP por Agente
CompContEnerSICEP	Sistema	HourlyEntities	31	kWh	Compras en Contrato Energía en SICEP por Sistema
CompContMoneda	Sistema	HourlyEntities	31	COP	Compras en Contrato Moneda por Sistema
CompNetArranPara	Sistema	DailyEntities	31	COP	Compras Netas Arranque y Parada por Sistema
ConsCombAprox	RecursoComb	HourlyEntities	31	MBTU	Consumo Combustible Aproximado para el Factor de Emisión por RecursoComb
ConsCombustibleMBTU	Combustible	HourlyEntities	31	MBTU	Consumo Combustible MBTU
ConsCombustibleMBTU	Recurso	HourlyEntities	31	MBTU	Consumo Combustible MBTU por Recurso
CostMargDesp	Sistema	HourlyEntities	31	COP/kWh	Costo Marginal Despacho Programado por Sistema
CostRecNeg	Area	HourlyEntities	31	COP/kWh	Costo Unitario Reconciliacion Negativa por Area
CostRecNeg	SubArea	HourlyEntities	31	COP/kWh	Costo Unitario Reconciliacion Negativa por SubArea
CostRecPos	Area	HourlyEntities	31	COP/kWh	Costo Unitario Reconciliacion Positiva por Area
CostRecPos	SubArea	HourlyEntities	31	COP/kWh	Costo Unitario Reconciliacion Positiva por SubArea
DDVContratada	Recurso	DailyEntities	31	kWh	DDV Contratada por Recurso
DeltaInt	Sistema	DailyEntities	31	COP/kWh	Delta Incremento Internacional por Sistema
DeltaNal	Sistema	DailyEntities	31	COP/kWh	Delta Incremento Nacional por Sistema
DemaCome	Agente	HourlyEntities	31	kWh	Demanda Comercial por Agente
DemaCome	MercadoComercializacion	HourlyEntities	31	kWh	Demanda Comercial por MercadoComercializacion
DemaCome	Sistema	HourlyEntities	31	kWh	Demanda Comercial por Sistema
DemaComeNoReg	Agente	HourlyEntities	31	kWh	Demanda Comercial Mercado No Regulado por Agente
DemaComeNoReg	CIIU	HourlyEntities	31	kWh	Demanda Comercial por CIIU
DemaComeNoReg	Sistema	HourlyEntities	31	kWh	Demanda Comercial Mercado No Regulado por Sistema
DemaComeReg	Agente	HourlyEntities	31	kWh	Demanda Comercial Mercado Regulado por Agente
DemaComeReg	Sistema	HourlyEntities	31	kWh	Demanda Comercial Mercado Regulado por Sistema
DemaMaxPot	Sistema	DailyEntities	31	kW	Demanda Máxima de Potencia por Sistema
DemaNoAtenNoProg	Area	DailyEntities	31	kWh	Demanda No Atendida No Programada por Area
DemaNoAtenNoProg	Subarea	DailyEntities	31	kWh	Demanda No Atendida No Programada por Subarea
