report_title,date,fuel,from_time,to_time,actual_generation_mw,relief_mw,reason,source_url,extraction_method,confidence,notes
Curtailment_RE_Power_29 & 30 April 2026,2026-04-29,solar,10:41,14:50,6530,58,overloading 220 KV BIKANER - GAJNER LINE 1&2,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f58110e42f3_Curtailment_RE_Power_29&30April2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 1.
Curtailment_RE_Power_29 & 30 April 2026,2026-04-29,solar,11:20,14:44,6741,105,DUE TO OVERLOADING OF BHADLA ICT'S,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f58110e42f3_Curtailment_RE_Power_29&30April2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 1.
Curtailment_RE_Power_29 & 30 April 2026,2026-04-30,solar,11:09,14:43,6542,60,overloading 220 KV BIKANER - GAJNER LINE 1&2,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f58110e42f3_Curtailment_RE_Power_29&30April2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 2.
Curtailment_RE_Power_29 & 30 April 2026,2026-04-30,solar,11:28,14:51,6642,110,DUE TO OVERLOADING OF BHADLA ICT'S,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f58110e42f3_Curtailment_RE_Power_29&30April2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 2; handwritten end time read as 14:51.
Curtailment_RE_Power_02 & 03 April 2026,2026-04-02,solar,10:15,11:09,6730,50,Due to Bikaner ICT's overloading,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d0adb6d52bf_Curtailment_RE_Power_02&03April2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 1.
Curtailment_RE_Power_02 & 03 April 2026,2026-04-02,solar,10:56,13:15,6444,80,Due to Bhadla ICT overloading,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d0adb6d52bf_Curtailment_RE_Power_02&03April2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 2.
Curtailment_RE_Power_02 & 03 April 2026,2026-04-02,solar,11:09,11:35,6568,45,Due to Bikaner ICT overloading,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d0adb6d52bf_Curtailment_RE_Power_02&03April2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 3.
Curtailment_RE_Power_02 & 03 April 2026,2026-04-02,solar,11:35,13:13,6733,42,Due to Bikaner ICT overloading,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d0adb6d52bf_Curtailment_RE_Power_02&03April2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 4.
Curtailment_RE_Power_02 & 03 April 2026,2026-04-02,solar,13:15,14:58,7037,42,Due to Bhadla ICT overloading,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d0adb6d52bf_Curtailment_RE_Power_02&03April2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 5.
Curtailment_RE_Power_02 & 03 April 2026,2026-04-02,solar,13:13,13:20,6932,26,Due to Bikaner ICT overloading,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d0adb6d52bf_Curtailment_RE_Power_02&03April2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 6.
Curtailment_RE_Power_02 & 03 April 2026,2026-04-02,solar,13:20,15:05,6240,24,Due to Bikaner ICT overloading,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d0adb6d52bf_Curtailment_RE_Power_02&03April2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 7.
Curtailment_RE_Power_02 & 03 April 2026,2026-04-02,solar,15:05,15:20,7348,10,Due to Bikaner ICT overloading,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d0adb6d52bf_Curtailment_RE_Power_02&03April2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 8.
Curtailment_RE_Power_30 & 31 march 2026,2026-03-30,solar,13:48,15:15,8470,55,Due to overloading of ICT's at 400 KV GSS Bikaner,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69ccecaa19810_Curtailment_RE_Power_30&31march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 1.
Curtailment_RE_Power_30 & 31 march 2026,2026-03-30,solar,13:50,15:31,8636,75,Due to overloading of ICT's at 400 KV GSS Bhadla,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69ccecaa19810_Curtailment_RE_Power_30&31march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 2.
Curtailment_RE_Power_30 & 31 march 2026,2026-03-31,solar,10:28,11:20,6078,60,Due to overloading of ICT's at 400 KV GSS Bikaner,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69ccecaa19810_Curtailment_RE_Power_30&31march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 3.
Curtailment_RE_Power_30 & 31 march 2026,2026-03-31,solar,11:20,13:25,6077,58,Due to overloading of ICT's at 400 KV GSS Bikaner,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69ccecaa19810_Curtailment_RE_Power_30&31march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 4.
Curtailment_RE_Power_30 & 31 march 2026,2026-03-31,solar,12:23,15:06,6473,70,Due to overloading of ICT's at 400 KV GSS Bhadla,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69ccecaa19810_Curtailment_RE_Power_30&31march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 5.
Curtailment_RE_Power_30 & 31 march 2026,2026-03-31,solar,13:25,15:06,6869,50,Due to overloading of ICT's at 400 KV GSS Bikaner and outage of 220 KV Bikaner-Suratgarh line,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69ccecaa19810_Curtailment_RE_Power_30&31march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 6.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-20,solar,10:10,14:30,5649,50,Due to overloading Bikaner ICT's,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 1.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-20,solar,11:09,15:10,6394,90,Due to overloading Bhadla ICT's,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 2.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-21,solar,10:44,13:30,7229,1005,Due to high frequency and heavy underdrawal in Rajasthan with real-time loading,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 3; mixed-fuel row split by reported solar and wind curtailment MW.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-21,wind,10:44,13:30,7229,105,Due to high frequency and heavy underdrawal in Rajasthan with real-time loading,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 3; mixed-fuel row split by reported solar and wind curtailment MW.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-21,solar,13:30,14:48,5804,1405,Due to high frequency and heavy underdrawal in Rajasthan with real-time loading,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 4; mixed-fuel row split by reported solar and wind curtailment MW.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-21,wind,13:30,14:48,5804,205,Due to high frequency and heavy underdrawal in Rajasthan with real-time loading,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 4; mixed-fuel row split by reported solar and wind curtailment MW.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-22,solar,10:05,15:36,5730,1234,Due to heavy underdrawal and high frequency in system,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 5; mixed-fuel row split by reported solar and wind curtailment MW.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-22,wind,10:05,15:36,5730,16,Due to heavy underdrawal and high frequency in system,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 5; mixed-fuel row split by reported solar and wind curtailment MW.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-23,solar,10:38,11:50,5497,90,Due to overloading of ICT's at Bikaner,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 6.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-23,solar,10:54,14:52,6714,120,Due to overloading of ICT's at Bhadla,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 7.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-23,solar,11:50,14:52,6958,130,Due to overloading of ICT's at Bikaner,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 8.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-24,solar,10:50,12:23,6898,100,Due to overloading of ICT's at Bikaner,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 9.
